"id","time_stamp","phase","time","accX","accY","accZ","accX_V","accY_V","accZ_V","gyroX","gyroY","gyroZ","gravX","gravY","gravZ","magX","magY","magZ"
"50753","1588834403388","-1","266548621","-1.10607","3.11712","8.54933","0.00145621","0.0459358","0.00205022","0","0","0","0","0","0","0","0","0"
"50753","1588834403436","-1","266548721","-0.629648","1.80994","8.17345","0.0197737","0.441149","0.0661087","-1.0612","-0.73551","0.0520285","-1.01018","3.43832","9.12841","2.90962","-15.7941","-39.0774"
"50753","1588834403533","-1","266548820","-0.289686","1.26169","10.4167","0.198804","1.01054","0.482726","-0.827846","-0.317067","0.486964","-0.209809","1.49425","9.68987","-0.818466","-10.6491","-40.7525"
"50753","1588834403633","-1","266548920","-1.80036","1.43407","9.30586","0.180984","0.697995","0.788239","-0.716058","1.88815","0.33547","-0.959582","0.983878","9.70987","0.276962","-6.46894","-43.0254"
"50753","1588834403733","-1","266549020","-1.65911","2.02541","8.24528","0.677721","1.0473","0.691953","-0.192546","0.974911","1.17297","-2.61288","0.59145","9.43363","8.55803","-4.04613","-41.1051"
"50753","1588834403833","-1","266549119","-4.32614","0.900181","12.4182","1.82868","1.17232","0.984906","-2.107","-0.956032","-0.454989","-2.81637","-0.0581299","9.39335","11.2228","0.154465","-41.5168"
"50753","1588834403932","-1","266549219","-1.20663","-1.51068","9.91875","1.70382","1.92678","3.66009","1.15624","-1.10142","-0.222861","-1.51042","-0.557319","9.67359","3.91972","4.60347","-41.0577"
"50753","1588834404033","-1","266549319","0.749353","-0.172375","8.85577","1.91153","1.95947","3.28552","0.586306","-0.0379023","-0.334038","-0.282305","0.448808","9.79231","0.307266","-0.451538","-42.2021"
"50753","1588834404133","-1","266549418","-1.02946","-0.742171","10.1031","1.80148","1.95257","3.14618","-0.0526584","-0.0904366","0.119224","-0.237601","0.267952","9.80011","-1.25545","-0.602135","-42.8297"
"50753","1588834404233","-1","266549518","0.363903","0.914546","7.71857","1.72878","1.82361","2.85698","0.89296","-2.86354e-05","0.650676","-0.0120384","0.872528","9.76775","-0.953934","-2.97754","-42.8483"
"50753","1588834404333","-1","266549618","1.60883","1.84106","8.14951","1.95071","1.69463","2.91146","0.0615733","-0.562024","0.205966","0.639193","1.41074","9.68358","-4.86128","-6.20433","-42.4353"
"50753","1588834404432","-1","266549719","1.38139","1.87697","11.53","2.36226","1.61621","3.15029","0.286982","0.228435","0.0746305","0.860276","1.28077","9.68452","-6.25252","-5.63853","-40.8951"
"50753","1588834404532","-1","266549818","0.349538","1.09889","10.7184","2.49133","1.49607","2.92057","0.517889","-0.934652","0.176034","1.25821","1.5807","9.59628","-7.50774","-6.76654","-41.5293"
"50753","1588834404632","-1","266549918","1.67108","1.27366","9.69371","2.65402","1.39056","2.74685","0.148927","0.0622796","-0.0628141","1.66311","1.75422","9.50406","-10.9409","-7.61974","-41.7106"
