accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances,tags
2.632242313,1.150412324,8.222178213,0.000698365,0.005078138,0.011952342,2.649119893,1.141119528,8.366888259,-18.7968914,23.06628897,-31.5205922,1.45561,-0.0167587,9.50457,-3.96E-05,-4.14E-05,1.12E-05,1.482875,-0.0240997,9.69381,-12.747,29.1347,-40.63105,19.8782,7.93644,11.2403,1.28071,1.9015,3.13663,8.83846,7.18342,9.79032,0,37.8413,15.1269,-4.60864,-4.2998,-0.610495,-3.24457,-2.07096,-1.22678,-0.116966,-1.12684,0,-50.5119,-11.5241,-43.3747,5.961066339,5.353908321,6.452508231,0.014739056,0.024807261,0.027070514,5.629883178,5.238440434,6.880139915,157.9832242,158.7621133,324.4858709,1
2.351458722,0.852961512,8.540978018,0.000566035,0.003870294,0.008959404,2.371274695,0.846227909,8.696481107,-17.34647968,24.68154239,-33.86551128,1.48434,-0.0263351,9.50218,-3.96E-05,-4.14E-05,-4.70E-05,1.51271,-0.0266626,9.689055,-12.8867,29.2593,-40.6587,19.8782,7.93644,11.2403,1.28071,1.9015,3.13663,8.83846,7.18342,9.79032,0,37.8413,15.1269,-4.60864,-4.2998,-0.610495,-3.24457,-2.07096,-1.22678,-0.116966,-1.12684,0,-50.5119,-11.5241,-43.5082,4.706817318,4.280435917,5.143761514,0.01105304,0.018607491,0.02032709,4.453518834,4.18927711,5.485418207,124.9329531,127.0285505,259.9989333,1
2.184828744,0.674886849,8.731874131,0.000446663,0.003097889,0.007178071,2.206718199,0.669356509,8.893894379,-16.49225251,25.65711051,-35.28958702,1.50349,-0.0287292,9.49978,-3.96E-05,-4.14E-05,1.86E-06,1.534395,-0.02965985,9.68577,-12.8987,29.2791,-40.7811,19.8782,7.93644,11.2403,1.28071,1.9015,3.13663,8.83846,7.18342,9.79032,0,37.8413,15.1269,-4.60864,-4.2998,-0.610495,-3.24457,-2.07096,-1.22678,-0.116966,-1.12684,0,-50.5119,-11.5241,-43.5187,3.876254981,3.55096547,4.260497201,0.008841949,0.014887323,0.016273114,3.670871514,3.476318422,4.54390878,102.978016,105.5272694,216.2301684,1
2.074669798,0.556122525,8.858866823,0.000386056,0.002584667,0.0059732,2.097871586,0.551351659,9.025365524,-15.93257551,26.31468435,-36.21311769,1.51068,-0.0311233,9.49739,-3.96E-05,-4.14E-05,-6.52E-06,1.539135,-0.03635045,9.68503,-12.9109,29.3806,-40.7889,19.8782,7.93644,11.2403,1.28071,1.9015,3.13663,8.83846,7.18342,9.79032,0,37.8413,15.1269,-4.60864,-4.2998,-0.610495,-3.24457,-2.07096,-1.22678,-0.116966,-1.12684,0,-50.5119,-11.5241,-44.087,3.290747743,3.029536545,3.630891671,0.007368078,0.012406892,0.013567531,3.118144606,2.966416698,3.872827565,87.48292154,90.19127169,184.5584414,1
1.476151078,-0.031687908,9.503352197,5.16E-05,9.18E-05,9.05E-05,1.505535033,-0.031651222,9.689974222,-12.80516657,29.54279272,-40.87379,1.51068,-0.0359115,9.49978,-3.63E-05,1.40E-05,-6.52E-06,1.53931,-0.03738135,9.68501,-12.8938,29.4387,-40.816,1.97274,0.34475,9.86369,0.0712001,0.178859,0.0450436,1.92023,0.111669,9.73993,-9.10683,32.2483,-37.7863,0.986369,-0.481214,9.04251,-0.108648,-0.169334,-0.0685772,1.14127,-0.120499,9.61635,-15.6021,27.0679,-44.087,0.007373727,0.001003613,0.000760022,2.83E-05,7.85E-05,1.07E-05,0.006633804,0.000374073,0.000143582,0.860312774,0.585099183,0.656603399,1
1.433486238,-0.020542709,9.510374275,9.78E-05,9.75E-05,8.44E-05,1.462036413,-0.02077003,9.695788558,-12.56675658,29.45315731,-40.85379467,1.50828,-0.0335174,9.49978,2.98E-05,8.85E-05,-6.52E-06,1.53899,-0.03723795,9.68506,-12.76015,29.4092,-40.81405,2.54972,1.00792,9.77989,0.05934,0.0708994,0.13667,1.61854,0.0860845,9.7585,-8.51351,32.2483,-37.7863,0.258563,-1.41252,9.31065,-0.108648,-0.135573,-0.112563,0.970611,-0.120499,9.67155,-15.6021,26.3243,-44.087,0.024770402,0.003739195,0.000955388,1.13E-05,4.54E-05,3.52E-05,0.022410244,0.001254697,0.000431474,1.377438667,0.63297533,0.680592682,1
1.37887557,-0.004179038,9.518361297,7.56E-05,1.37E-05,9.92E-05,1.406697143,-0.004600708,9.703315419,-12.22090204,29.339725,-40.81101644,1.50828,-0.0311233,9.50457,-3.63E-05,-2.70E-05,-6.52E-06,1.53899,-0.03686035,9.68506,-12.4317,29.2868,-40.8049,2.54972,1.00792,9.77989,0.0266327,0.0708994,0.13667,1.61854,0.0883162,9.7585,-8.51334,32.2483,-37.7863,0.258563,-1.41252,9.31065,-0.0372991,-0.135573,-0.112563,0.970611,-0.120499,9.67155,-15.6021,26.3243,-44.087,0.036207722,0.004890147,0.001154674,6.16E-06,4.27E-05,3.56E-05,0.034246518,0.002343847,0.000659075,1.848351502,0.679760827,0.695689097,1
1.323565246,0.015888172,9.526173492,4.56E-05,-2.00E-05,0.00010193,1.350409949,0.015480427,9.711206286,-11.86367929,29.23000844,-40.75641433,1.26169,-0.0023941,9.53091,-3.63E-05,-9.22E-05,1.86E-06,1.28711,0.003451235,9.72178,-11.8395,29.19675,-40.7921,2.54972,1.00792,9.77989,0.0266327,0.0708994,0.13667,1.61854,0.089704,9.7585,-8.39502,32.2483,-37.7863,0.258563,-1.41252,9.31065,-0.0372991,-0.135573,-0.112563,0.970611,-0.120499,9.67155,-15.5957,26.3243,-44.087,0.037245623,0.005528646,0.001133694,6.22E-06,4.29E-05,3.57E-05,0.035336979,0.003001189,0.000685456,1.937773579,0.700680029,0.686785899,1
1.266836465,0.035914148,9.53418445,5.39E-05,-1.47E-05,8.16E-05,1.292628993,0.035874107,9.719342694,-11.49322263,29.10592825,-40.69489344,1.18029,0.0622466,9.54288,-3.63E-05,-9.22E-05,4.61E-05,1.20187,0.0653192,9.732365,-11.2249,29.0898,-40.68935,2.54972,1.00792,9.77989,0.0266327,0.0708994,0.13667,1.61854,0.089704,9.7585,-8.39502,32.2483,-37.7863,0.258563,-1.41252,9.31065,-0.0372991,-0.135573,-0.112563,0.970611,-0.120499,9.67155,-15.5957,26.1995,-44.087,0.031251754,0.005404996,0.000964199,6.26E-06,4.31E-05,3.57E-05,0.029136491,0.0028939,0.000566306,1.718423975,0.700999072,0.683084247,1
1.203583843,0.052792552,9.542878414,4.31E-05,-6.19E-05,7.02E-05,1.228475626,0.053175342,9.728309,-11.08525233,28.96627747,-40.63850383,1.17311,0.0694289,9.54527,-4.66E-05,-0.000113605,8.47E-05,1.19898,0.067,9.73274,-10.9279,28.9959,-40.6794,2.54972,1.00792,9.77989,0.0266327,0.0708994,0.13667,1.61854,0.0982791,9.7585,-8.36624,31.8437,-37.7863,0.258563,-1.41252,9.31065,-0.0372991,-0.135573,-0.112563,0.970611,-0.120499,9.67155,-15.4574,26.1995,-43.3783,0.018873373,0.004419913,0.000655718,6.84E-06,4.93E-05,3.62E-05,0.016280055,0.001824099,0.000312349,1.199081377,0.667084693,0.687103076,1
