accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,tags
2.21669603,2.297006154,9.044394347,2.28636,2.37375,9.113135,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,1.122202215,1.1496181,0.613936292,1.614402033,1.241562324,9.368250693,1.28563,0.756535,9.53091,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.625443289,0.96054421,0.26189736,1.305572293,0.942500815,9.456369879,1.21381,0.727806,9.55006,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.533403786,0.714915478,0.169338124,3
1.39485803,0.676201161,9.516522367,1.29042,0.734988,9.5345,5.00127,4.67807,10.534,-0.699077,-0.962428,8.42004,0.195069503,0.058208796,0.014376344,1.443399179,1.065941546,9.421135583,1.23775,0.744565,9.54048,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.571634434,0.817435243,0.205451542,1.214383325,0.860533527,9.479417149,1.16114,0.559022,9.56203,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.486140611,0.629370505,0.143784498,3
1.231652038,0.751479657,9.543835367,1.22099,0.749353,9.54527,1.5418,0.921728,9.62188,0.988763,0.651195,9.43275,0.00276061,0.000442667,0.000293226,1.305572293,0.942500815,9.456369879,1.21381,0.727806,9.55006,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.533403786,0.714915478,0.169338124,1.147985171,0.802382199,9.496172464,0.825964,0.474032,9.58118,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.443272716,0.559847885,0.124944684,3
0.930390618,0.539079213,9.57979025,0.83554,0.481214,9.58836,2.61196,1.16832,9.75595,0.33278,0.270533,8.89168,0.059492996,0.01826541,0.002650845,1.214383325,0.860533527,9.479417149,1.16114,0.559022,9.56203,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.486140611,0.629370505,0.143784498,1.099333737,0.758807106,9.509085116,0.787659,0.464455,9.58597,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.406262501,0.503582381,0.110680644,3
0.754264748,0.44873789,9.597307067,0.754141,0.450091,9.59794,0.936093,0.562613,9.65301,0.622466,0.34475,9.56203,0.000620933,0.000255425,0.000115717,0.969866695,0.553278207,9.571468817,0.78287,0.464455,9.58597,5.00127,4.67807,10.534,-0.699077,-0.962428,8.42004,0.10825312,0.02735468,0.003896211,1.062370678,0.725747096,9.518694696,0.780476,0.464455,9.58836,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.372398849,0.456519125,0.099175661,3
0.758438485,0.450697088,9.5946535,0.754141,0.452485,9.59555,0.852299,0.533884,9.63864,0.694289,0.373479,9.55724,0.000441407,0.000229513,0.000123865,0.863852639,0.516208256,9.585294036,0.761323,0.457273,9.59315,2.61196,1.16832,10.0863,-0.423755,0.0502761,8.89168,0.044313218,0.01600455,0.001192934,1.032221257,0.698993438,9.526356016,0.7709,0.462061,9.59076,9.08082,7.09611,11.3025,-2.40368,-2.97586,-0.964822,0.343512644,0.417599042,0.090182114,3
0.74959625,0.45347423,9.59670435,0.749353,0.454879,9.59794,1.10847,0.667954,9.6554,0.538672,0.0502761,9.50936,0.000972392,0.000803143,0.000146344,0.786355001,0.467839481,9.593916697,0.756535,0.452485,9.59555,2.61196,1.16832,10.0863,-0.423755,0.0502761,8.89168,0.01739779,0.005098994,0.000885209,0.885212417,0.515224405,9.581525185,0.761323,0.459667,9.59315,5.00127,4.67807,10.534,-0.699077,-0.962428,8.09924,0.077701751,0.019391615,0.003100816,3
0.758773694,0.453781457,9.599473683,0.746959,0.450091,9.60034,2.3534,1.08213,10.0863,-0.423755,0.136464,9.24122,0.014727347,0.003491275,0.00152142,0.758102642,0.454361366,9.596502972,0.754141,0.452485,9.59794,2.3534,1.5418,10.0863,-0.423755,0.0502761,8.09924,0.003643292,0.001540942,0.001066656,0.819806008,0.493384644,9.589464775,0.754141,0.457273,9.59555,2.61196,1.5418,10.0863,-0.423755,0.0502761,8.09924,0.030060126,0.010848043,0.001209326,3
0.76666621,0.46126701,9.595571333,0.763717,0.462061,9.59555,1.15156,0.634436,9.83017,0.469243,0.265745,9.47345,0.003180101,0.001400424,0.000507048,0.756826455,0.456124355,9.596299467,0.751747,0.454879,9.59794,2.3534,1.5418,10.0863,-0.423755,0.0502761,8.09924,0.003589116,0.001527705,0.001065009,0.796280011,0.466928657,9.592002897,0.751747,0.457273,9.59555,2.64309,2.20257,10.0863,-0.423755,0.0502761,8.09924,0.022352305,0.004368575,0.001190405,3
0.760876465,0.458210523,9.5953079,0.758929,0.457273,9.59794,1.24493,1.5418,9.67455,0.354327,0.301656,8.09924,0.001779019,0.002969878,0.003979191,0.753885698,0.457308766,9.596510261,0.749353,0.457273,9.59794,2.3534,1.5418,10.0863,-0.423755,0.0502761,8.09924,0.003561002,0.001496403,0.001058794,0.832371844,0.463773636,9.58737834,0.754141,0.457273,9.59555,2.64309,2.20257,10.0863,-0.423755,0.0502761,8.09924,0.037956941,0.002253806,0.001273475,1
