accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
-4.322820598,3.145215324,-0.131986592,-8.04896,2.53535,-3.27034,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,31.51610937,7.715440477,39.1207788,-4.322820598,3.145215324,-0.131986592,-8.04896,2.53535,-3.27034,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,31.51610937,7.715440477,39.1207788,-4.322820598,3.145215324,-0.131986592,-8.04896,2.53535,-3.27034,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,31.51610937,7.715440477,39.1207788,-4.322820598,3.145215324,-0.131986592,-8.04896,2.53535,-3.27034,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,31.51610937,7.715440477,39.1207788,1
-6.492277157,2.098277928,1.999782778,-8.555315,1.174305,3.83295,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,20.50030641,5.008460539,24.33562017,-6.492277157,2.098277928,1.999782778,-8.555315,1.174305,3.83295,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,20.50030641,5.008460539,24.33562017,-6.492277157,2.098277928,1.999782778,-8.555315,1.174305,3.83295,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,20.50030641,5.008460539,24.33562017,-6.492277157,2.098277928,1.999782778,-8.555315,1.174305,3.83295,9.58836,10.5915,72.4191,-17.3668,-5.68359,-8.12318,20.50030641,5.008460539,24.33562017,1
-7.173173583,1.846245198,2.73274804,-8.54933,1.1348,3.961035,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,14.74784302,3.841800154,17.8820777,-7.173173583,1.846245198,2.73274804,-8.54933,1.1348,3.961035,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,14.74784302,3.841800154,17.8820777,-7.173173583,1.846245198,2.73274804,-8.54933,1.1348,3.961035,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,14.74784302,3.841800154,17.8820777,-7.173173583,1.846245198,2.73274804,-8.54933,1.1348,3.961035,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,14.74784302,3.841800154,17.8820777,1
-7.470920995,2.216991332,2.949977544,-8.49546,1.612425,3.80422,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,11.34368585,3.348074554,13.75026624,-7.470920995,2.216991332,2.949977544,-8.49546,1.612425,3.80422,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,11.34368585,3.348074554,13.75026624,-7.470920995,2.216991332,2.949977544,-8.49546,1.612425,3.80422,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,11.34368585,3.348074554,13.75026624,-7.470920995,2.216991332,2.949977544,-8.49546,1.612425,3.80422,9.58836,10.5915,72.4191,-20.6491,-5.68359,-8.12318,11.34368585,3.348074554,13.75026624,1
-7.443139785,2.212634838,2.466358257,-8.52778,2.204965,3.68212,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,12.29202211,3.42239561,17.60134019,-7.443139785,2.212634838,2.466358257,-8.52778,2.204965,3.68212,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,12.29202211,3.42239561,17.60134019,-7.443139785,2.212634838,2.466358257,-8.52778,2.204965,3.68212,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,12.29202211,3.42239561,17.60134019,-7.443139785,2.212634838,2.466358257,-8.52778,2.204965,3.68212,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,12.29202211,3.42239561,17.60134019,1
-8.466028015,1.987673376,2.243993496,-8.70016,1.9488,3.520525,19.1001,8.99702,68.555,-20.6491,-10.9937,-5.53276,3.801415999,1.679296672,11.17128912,-7.775493446,2.180597034,1.847996815,-8.62594,2.0302,3.38526,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,10.79791052,2.869605792,16.60424653,-7.775493446,2.180597034,1.847996815,-8.62594,2.0302,3.38526,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,10.79791052,2.869605792,16.60424653,-7.775493446,2.180597034,1.847996815,-8.62594,2.0302,3.38526,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,10.79791052,2.869605792,16.60424653,1
-8.653615138,2.062860053,1.298198391,-9.03772,1.93683,-0.371085,19.1001,8.99702,68.555,-20.6491,-10.9937,-5.53276,3.998455002,1.541294318,11.08955581,-8.036090001,2.072979446,1.498651073,-8.78754,1.780015,2.39051,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,9.663080622,2.531212448,14.96972848,-8.036090001,2.072979446,1.498651073,-8.78754,1.780015,2.39051,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,9.663080622,2.531212448,14.96972848,-8.036090001,2.072979446,1.498651073,-8.78754,1.780015,2.39051,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,9.663080622,2.531212448,14.96972848,1
-8.867823822,2.064688345,0.389803909,-9.47345,1.85782,-0.465652,19.1001,8.99702,68.555,-12.8515,-10.9937,-5.53276,4.039466167,1.337257487,8.788237091,-8.232329982,1.982772165,1.268407958,-8.90605,1.60644,-0.165193,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,8.726098767,2.287042252,13.48225493,-8.232329982,1.982772165,1.268407958,-8.90605,1.60644,-0.165193,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,8.726098767,2.287042252,13.48225493,-8.232329982,1.982772165,1.268407958,-8.90605,1.60644,-0.165193,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,8.726098767,2.287042252,13.48225493,1
-9.076035332,1.673412804,-0.377519058,-9.55485,1.59208,-0.813994,19.1001,8.99702,68.555,-12.8515,-10.9937,-5.53276,4.214306924,0.969908506,6.629378333,-8.362651182,1.915003261,1.10136832,-9.12391,1.59447,-0.203498,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,8.017669605,2.099417785,12.52664799,-8.362651182,1.915003261,1.10136832,-9.12391,1.59447,-0.203498,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,8.017669605,2.099417785,12.52664799,-8.362651182,1.915003261,1.10136832,-9.12391,1.59447,-0.203498,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,8.017669605,2.099417785,12.52664799,1
-9.531038583,1.445842561,-0.341908455,-9.59315,1.45322,-0.463258,-1.09889,4.41951,10.7423,-12.1309,-0.217863,-2.16427,0.241900564,0.232608734,1.063349016,-8.487089184,1.829238699,1.062224901,-9.33459,1.53701,-0.01077345,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,7.355928689,1.974214639,11.30270809,-8.487089184,1.829238699,1.062224901,-9.33459,1.53701,-0.01077345,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,7.355928689,1.974214639,11.30270809,-8.487089184,1.829238699,1.062224901,-9.33459,1.53701,-0.01077345,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,7.355928689,1.974214639,11.30270809,1
-9.56941838,1.268186037,-0.011193982,-9.6147,1.2569,-0.112523,-1.09889,4.41951,10.7423,-12.1309,-0.217863,-1.88416,0.237924608,0.14514786,0.878582356,-9.017723198,1.627929707,1.116399757,-9.50697,1.39097,0.283701,19.1001,8.99702,68.555,-20.6491,-10.9937,-5.53276,2.323751946,1.041507284,7.295611001,-8.59091387,1.765864763,1.002910089,-9.45908,1.43167,0.2549715,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,6.795166959,1.83744087,10.31213678,-8.59091387,1.765864763,1.002910089,-9.45908,1.43167,0.2549715,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,6.795166959,1.83744087,10.31213678,1
-9.557259553,1.294052675,0.264511222,-9.60752,1.25211,0.347144,-1.09889,6.30845,10.7423,-12.1309,-0.83554,-2.26003,0.244749451,0.203967129,0.869731794,-9.105437346,1.678456364,0.781354807,-9.54767,1.52265,0.282504,19.1001,8.99702,68.555,-20.6491,-10.9937,-5.53276,2.325425904,1.020276089,6.245818849,-8.669910648,1.748426625,0.984426135,-9.49739,1.5011,0.386647,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,6.300695034,1.7088527,9.464042586,-8.669910648,1.748426625,0.984426135,-9.49739,1.5011,0.386647,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,6.300695034,1.7088527,9.464042586,1
-9.54216955,1.328428672,0.549179934,-9.58836,1.48434,0.630845,-1.09889,6.30845,10.7423,-12.1309,-0.83554,-2.26003,0.243398749,0.189293182,0.833594296,-9.204996686,1.696558508,0.469491921,-9.56203,1.53222,0.284898,19.1001,8.99702,68.555,-12.8515,-10.9937,-5.53276,2.254779984,0.898690268,4.816464978,-8.736114431,1.731101591,0.991781795,-9.50697,1.50828,0.538672,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,5.869202397,1.581441881,8.739105745,-8.736114431,1.731101591,0.991781795,-9.50697,1.50828,0.538672,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,5.869202397,1.581441881,8.739105745,1
-9.550983027,1.370234423,0.911727077,-9.57161,1.50349,0.869058,-7.68745,6.30845,3.62467,-10.6394,-0.83554,-2.26003,0.018103502,0.148074823,0.221502241,-9.313509179,1.521823613,0.267104009,-9.56442,1.52265,0.286095,19.1001,8.99702,68.555,-12.8515,-10.9937,-5.53276,2.172255682,0.581881597,3.840477452,-8.787055412,1.720442962,1.033639305,-9.49739,1.52504,0.675136,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,5.48459211,1.470553769,8.139661447,-8.787055412,1.720442962,1.033639305,-9.49739,1.52504,0.675136,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,5.48459211,1.470553769,8.139661447,1
-9.508210913,1.468436383,1.13505815,-9.53091,1.53222,1.04622,-7.68745,6.30845,3.62467,-10.3808,-0.83554,-2.26003,0.022855838,0.093232598,0.340462998,-9.519624748,1.457139472,0.396574848,-9.56442,1.52025,0.509943,-1.09889,6.30845,10.7423,-12.1309,-0.83554,-2.26003,0.132486432,0.16302115,1.2472375,-8.827463094,1.708971261,1.086502651,-9.48302,1.53222,0.794841,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,5.143031452,1.37607232,7.649361451,-8.827463094,1.708971261,1.086502651,-9.48302,1.53222,0.794841,19.1001,10.5915,72.4191,-20.6491,-10.9937,-8.12318,5.143031452,1.37607232,7.649361451,1
