accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,1
1.383370133,-0.014137159,9.51882465,1.41252,-0.023941,9.51415,1.97274,0.34475,9.86369,0.986369,-0.481214,9.04251,0.015254322,0.003578593,0.00280764,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,1
1.46842825,-0.028182547,9.50353445,1.46519,-0.0287292,9.50218,1.69502,0.107734,9.59794,1.35267,-0.153222,9.34177,0.000685532,0.000325451,0.000261546,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,1
1.50910795,-0.039390925,9.497377433,1.50828,-0.0406997,9.49739,1.54659,0,9.58358,1.47716,-0.0646407,9.47106,8.77E-05,8.41E-05,0.000102991,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,1
1.518308833,-0.037411803,9.495458583,1.51786,-0.0383056,9.495,1.56095,-0.0023941,9.52133,1.49392,-0.0694289,9.46627,7.90E-05,8.79E-05,8.57E-05,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,1
1.523875067,-0.037699094,9.493830283,1.52504,-0.0383056,9.4926,1.60165,0.0143646,9.53091,1.42449,-0.10534,9.46387,0.000137827,0.000112218,9.92E-05,1.480618047,-0.031364306,9.50180508,1.50828,-0.0359115,9.49978,1.97274,0.34475,9.86369,0.986369,-0.481214,9.04251,0.005987307,0.000926178,0.000753773,2.074669798,0.556122525,8.858866823,1.51068,-0.0311233,9.49739,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.290747743,3.029536545,3.630891671,2.074669798,0.556122525,8.858866823,1.51068,-0.0311233,9.49739,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.290747743,3.029536545,3.630891671,2.074669798,0.556122525,8.858866823,1.51068,-0.0311233,9.49739,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.290747743,3.029536545,3.630891671,1
1.453816233,-0.033305918,9.511087783,1.52025,-0.0383056,9.50457,1.72375,0.19871,9.66498,1.07495,-0.313627,9.38966,0.013727782,0.001389833,0.000720647,1.494707267,-0.035198058,9.500257707,1.51307,-0.0359115,9.49739,1.72375,0.19871,9.66498,1.07495,-0.313627,9.34177,0.003735488,0.000415687,0.000293823,1.985976432,0.471918462,8.952041246,1.51068,-0.0335174,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.869697595,2.639392881,3.164273378,1.985976432,0.471918462,8.952041246,1.51068,-0.0335174,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.869697595,2.639392881,3.164273378,1.985976432,0.471918462,8.952041246,1.51068,-0.0335174,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.869697595,2.639392881,3.164273378,1
1.127381092,0.052734034,9.560957117,1.11804,0.0574584,9.56203,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.017498649,0.013931038,0.001193753,1.426497835,-0.019014741,9.51174224,1.51307,-0.0359115,9.49978,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.029296087,0.004408267,0.001083059,1.878652014,0.419520408,9.02815573,1.50589,-0.0311233,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.593741305,2.330361759,2.80936814,1.878652014,0.419520408,9.02815573,1.50589,-0.0311233,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.593741305,2.330361759,2.80936814,1.878652014,0.419520408,9.02815573,1.50589,-0.0311233,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.593741305,2.330361759,2.80936814,1
1.140764247,0.069999479,9.551456583,1.15874,0.071823,9.55006,1.35027,0.227439,9.61949,0.909757,-0.0383056,9.45669,0.002722513,0.000696961,0.000198604,1.352829094,0.002863339,9.52255807,1.50828,-0.02753215,9.50936,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.03936229,0.005554028,0.001259402,1.796664484,0.380684749,9.086300269,1.49631,-0.0263351,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.359582101,2.083529943,2.524231651,1.796664484,0.380684749,9.086300269,1.49631,-0.0263351,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.359582101,2.083529943,2.524231651,1.796664484,0.380684749,9.086300269,1.49631,-0.0263351,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.359582101,2.083529943,2.524231651,1
1.177246002,0.081012333,9.5442506,1.1779,0.0813994,9.54288,1.45082,0.217863,9.60512,0.799629,-0.0430938,9.47345,0.000976255,0.000312911,0.000113413,1.284616528,0.026548167,9.532316473,1.18508,0.047882,9.54048,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.035576392,0.005935146,0.001116902,1.734722636,0.350717508,9.132095302,1.46279,-0.0215469,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.158218926,1.883257129,2.290655545,1.734722636,0.350717508,9.132095302,1.46279,-0.0215469,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.158218926,1.883257129,2.290655545,1.734722636,0.350717508,9.132095302,1.46279,-0.0215469,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.158218926,1.883257129,2.290655545,1
