minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30
5.39 AM,3,1.184101298,0.884898712,9.239130108,0.881028,0.0191528,9.57879,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,2.242941275,3.421463204,1.635867778,1.184101298,0.884898712,9.239130108,0.881028,0.0191528,9.57879,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,2.242941275,3.421463204,1.635867778,1.184101298,0.884898712,9.239130108,0.881028,0.0191528,9.57879,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,2.242941275,3.421463204,1.635867778,1.184101298,0.884898712,9.239130108,0.881028,0.0191528,9.57879,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,2.242941275,3.421463204,1.635867778,1.184101298,0.884898712,9.239130108,0.881028,0.0191528,9.57879,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,2.242941275,3.421463204,1.635867778
5.40 AM,3,0.793954978,-0.021690549,9.594078817,0.842723,-0.0335174,9.59315,2.22891,2.58323,10.3688,0.296868,-1.7046,9.12152,0.029993515,0.035579615,0.002286823,0.989028138,0.431604081,9.416604462,0.861876,-0.0119705,9.58836,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,1.174520932,1.933997431,0.850574447,0.989028138,0.431604081,9.416604462,0.861876,-0.0119705,9.58836,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,1.174520932,1.933997431,0.850574447,0.989028138,0.431604081,9.416604462,0.861876,-0.0119705,9.58836,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,1.174520932,1.933997431,0.850574447,0.989028138,0.431604081,9.416604462,0.861876,-0.0119705,9.58836,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,1.174520932,1.933997431,0.850574447
5.41 AM,3,0.953721185,-0.013933662,9.580816,0.962428,-0.0143646,9.58118,1.23296,0.270533,9.86129,0.469243,-0.593737,9.46866,0.002570202,0.002348096,0.000410723,0.977259154,0.2830915,9.471341642,0.900181,-0.0119705,9.58358,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,0.784147707,1.334226293,0.573178857,0.977259154,0.2830915,9.471341642,0.900181,-0.0119705,9.58358,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,0.784147707,1.334226293,0.573178857,0.977259154,0.2830915,9.471341642,0.900181,-0.0119705,9.58358,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,0.784147707,1.334226293,0.573178857,0.977259154,0.2830915,9.471341642,0.900181,-0.0119705,9.58358,23.206,8.59242,19.2797,-6.19353,-2.74364,-0.423755,0.784147707,1.334226293,0.573178857
5.42 AM,3,0.787821946,-0.0051154,9.571762283,0.955245,-0.0143646,9.58358,8.81268,1.91767,10.8668,-10.1175,-2.00147,1.67348,0.762673729,0.03712684,0.146259969,0.929899852,0.211039775,9.496446802,0.938487,-0.0143646,9.58358,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.785507923,1.025525783,0.468339942,0.929899852,0.211039775,9.496446802,0.938487,-0.0143646,9.58358,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.785507923,1.025525783,0.468339942,0.929899852,0.211039775,9.496446802,0.938487,-0.0143646,9.58358,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.785507923,1.025525783,0.468339942,0.929899852,0.211039775,9.496446802,0.938487,-0.0143646,9.58358,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.785507923,1.025525783,0.468339942
5.43 AM,3,0.31656371,-0.014783568,9.6228839,0.316021,-0.0143646,9.62188,0.471637,0.174769,9.71047,0.205893,-0.217863,9.58597,0.000369648,0.000413224,0.000123405,0.807232623,0.165875106,9.521734222,0.870255,-0.0143646,9.58836,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.688669264,0.82866266,0.377254449,0.807232623,0.165875106,9.521734222,0.870255,-0.0143646,9.58836,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.688669264,0.82866266,0.377254449,0.807232623,0.165875106,9.521734222,0.870255,-0.0143646,9.58836,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.688669264,0.82866266,0.377254449,0.807232623,0.165875106,9.521734222,0.870255,-0.0143646,9.58836,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.688669264,0.82866266,0.377254449
5.44 AM,3,0.31908948,-0.01914881,9.624455867,0.318415,-0.0191528,9.62428,0.555431,0.174769,9.67934,0.138858,-0.210681,9.53091,0.000612426,0.000629371,0.000133891,0.63423026,-0.014934398,9.598799373,0.63683,-0.0167587,9.60512,8.81268,2.58323,10.8668,-10.1175,-2.00147,1.67348,0.229524422,0.015251598,0.030305964,0.725875433,0.135037787,9.538854496,0.825964,-0.0143646,9.59794,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.607088086,0.695411813,0.315866542,0.725875433,0.135037787,9.538854496,0.825964,-0.0143646,9.59794,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.607088086,0.695411813,0.315866542,0.725875433,0.135037787,9.538854496,0.825964,-0.0143646,9.59794,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.607088086,0.695411813,0.315866542
5.45 AM,3,0.319516436,-0.002126758,9.621291717,0.318415,-0.0023941,9.62188,0.665559,0.165193,9.71047,0.0670348,-0.217863,9.55724,0.001037506,0.001029545,0.000198426,0.539342552,-0.011021639,9.604241953,0.327992,-0.0143646,9.6147,8.81268,1.91767,10.8668,-10.1175,-2.00147,1.67348,0.229436104,0.008349952,0.029955387,0.667824148,0.115442852,9.550631242,0.610495,-0.0143646,9.60512,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.540729142,0.598518115,0.271603247,0.667824148,0.115442852,9.550631242,0.610495,-0.0143646,9.60512,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.540729142,0.598518115,0.271603247,0.667824148,0.115442852,9.550631242,0.610495,-0.0143646,9.60512,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.540729142,0.598518115,0.271603247
5.46 AM,1,0.305973828,0.007453631,9.6201584,0.306445,0.0071823,9.61949,0.450091,0.0909757,9.64822,0.220257,-0.14604,9.57879,0.00025249,0.000239913,9.88E-05,0.40979308,-0.006744181,9.612110433,0.318415,-0.00957639,9.61949,8.81268,1.91767,10.8668,-10.1175,-2.00147,1.67348,0.188739758,0.00797659,0.029772006,0.622592858,0.101944199,9.559322136,0.339962,-0.00957639,9.60991,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.487490648,0.525008835,0.238193915,0.622592858,0.101944199,9.559322136,0.339962,-0.00957639,9.60991,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.487490648,0.525008835,0.238193915,0.622592858,0.101944199,9.559322136,0.339962,-0.00957639,9.60991,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.487490648,0.525008835,0.238193915
5.47 AM,1,0.303172705,0.00624062,9.618821783,0.301656,0.0071823,9.61949,0.339962,0.047882,9.64822,0.277715,-0.0454879,9.58597,9.35E-05,0.000134152,9.10E-05,0.312863232,-0.004472977,9.621522333,0.311233,-0.0023941,9.62188,0.665559,0.174769,9.71047,0.0670348,-0.217863,9.53091,0.000520725,0.000606085,0.00013305,0.58710173,0.091310468,9.565933208,0.327992,-0.0071823,9.61231,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.443412366,0.467594036,0.212087691,0.58710173,0.091310468,9.565933208,0.327992,-0.0071823,9.61231,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.443412366,0.467594036,0.212087691,0.58710173,0.091310468,9.565933208,0.327992,-0.0071823,9.61231,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.443412366,0.467594036,0.212087691
5.48 AM,0,0.300567098,0.006567814,9.614213233,0.301656,0.0071823,9.6147,0.339962,0.0406997,9.64104,0.256169,-0.0335174,9.57161,8.89E-05,0.00010927,8.90E-05,0.30966391,-0.000202701,9.6197882,0.308839,0.0023941,9.61949,0.665559,0.174769,9.71047,0.0670348,-0.217863,9.53091,0.00048183,0.000530177,0.00013348,0.558448267,0.082836203,9.570761211,0.323203,-0.0047882,9.61231,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.406469203,0.421491878,0.19109761,0.558448267,0.082836203,9.570761211,0.323203,-0.0047882,9.61231,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.406469203,0.421491878,0.19109761,0.558448267,0.082836203,9.570761211,0.323203,-0.0047882,9.61231,23.206,8.59242,19.2797,-10.1175,-2.74364,-0.423755,0.406469203,0.421491878,0.19109761
