minutes,tags,accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances
5.22 AM,3,0.985790117,0.384607971,9.588520633,9.07E-05,-0.000942549,-4.91E-05,1.012880915,0.392322535,9.745927967,-18.20155167,6.84112355,-38.5259875,0.960034,0.371085,9.59315,0.000119658,-0.00112116,-0.000220693,0.9808375,0.3745675,9.75022,-18.32725,6.889615,-38.4543,1.51068,0.890605,9.70089,0.0316109,0.0756271,0.0438119,1.32939,0.547456,9.75328,-15.7701,9.08972,-35.9089,0.701471,-0.0790053,9.38247,-0.0258104,-0.0557088,-0.0313748,0.948763,0.367997,9.70201,-21.0506,4.65754,-41.3046,0.005622912,0.003223505,0.000479881,1.06E-05,4.95E-05,1.83E-05,0.00582764,0.001508647,0.00010647,0.603988891,0.595874803,0.606143436
5.23 AM,3,0.941116232,0.36135332,9.59918245,-7.77E-05,-0.000285691,-5.49E-05,0.957591835,0.366880002,9.752884583,-17.90068233,6.841839283,-38.51507233,0.940881,0.361509,9.60034,2.89E-05,-0.00017879,-0.000191361,0.9564055,0.366418,9.75303,-18.0408,6.8731,-38.4636,1.00552,0.39742,9.63146,0.00308319,0.00776245,0.00347383,0.985844,0.378369,9.75387,-15.6221,10.038,-35.622,0.87624,0.327992,9.56921,-0.00302546,-0.0087309,-0.00263482,0.948828,0.362305,9.74963,-20.1409,4.82051,-41.2953,0.000127048,0.00010063,9.49E-05,8.36E-07,1.43E-06,6.29E-07,3.68E-05,6.27E-06,4.73E-07,0.57853941,0.544264735,0.637662496
5.24 AM,3,0.930215002,0.356553195,9.599106417,-9.92E-05,-1.76E-05,2.80E-05,0.945590755,0.361871065,9.754244217,-17.7233275,6.924682733,-38.49378783,0.931304,0.356721,9.59794,1.96E-05,-0.000127573,-0.000102897,0.9449685,0.3617705,9.75431,-17.5965,6.90872,-38.4577,1.12044,0.464455,9.63385,0.00368474,0.00475934,0.00356229,0.965928,0.367707,9.75525,-15.0247,9.13261,-35.1673,0.871452,0.308839,9.56203,-0.00364563,-0.00440363,-0.00254636,0.937501,0.35557,9.75203,-19.8581,4.80529,-40.8636,0.000178027,0.000136787,9.60E-05,8.53E-07,1.08E-06,6.34E-07,1.43E-05,2.58E-06,1.73E-07,0.548783865,0.568869595,0.620309157
5.25 AM,3,0.915112283,0.351729038,9.59592235,-9.27E-05,-0.000126254,4.94E-05,0.930821728,0.357385615,9.755830233,-17.60172283,6.985574233,-38.49505017,0.914546,0.351933,9.59555,1.96E-05,-8.01E-05,-0.000102897,0.9305135,0.3574505,9.75585,-17.5864,7.03066,-38.45125,0.955245,0.375874,9.62428,0.00257569,0.00236338,0.00229959,0.939539,0.360837,9.75638,-15.6142,8.84581,-36.0545,0.888211,0.323203,9.57161,-0.00292209,-0.00252354,-0.00197646,0.92551,0.354475,9.7549,-19.6964,5.11264,-41.3199,8.91E-05,7.31E-05,8.61E-05,7.04E-07,7.04E-07,5.38E-07,9.47E-06,1.43E-06,1.07E-07,0.504837571,0.512124518,0.637569906
5.26 AM,3,0.911640832,0.351218303,9.59373155,-3.32E-05,-5.87E-05,2.71E-05,0.92776653,0.35750246,9.7561171,-17.56383683,7.034353717,-38.47835967,0.912152,0.351933,9.59315,0.00013223,7.17E-05,-0.00014387,0.927878,0.3571435,9.75614,-17.56245,7.03936,-38.4636,0.986369,0.416573,9.62428,0.00326245,0.00373689,0.00288531,0.93432,0.362943,9.75657,-15.1962,9.58642,-35.4614,0.797235,0.25138,9.56442,-0.0028462,-0.00542608,-0.00322334,0.922438,0.354439,9.75543,-19.5614,4.80964,-40.7263,0.000125741,0.00012242,8.95E-05,8.04E-07,8.15E-07,5.73E-07,3.51E-06,2.95E-06,2.86E-08,0.536046736,0.572450974,0.615266177
5.27 AM,3,0.909749462,0.352403418,9.595212,4.37E-05,-5.00E-05,4.51E-05,0.925234378,0.358772302,9.756311117,-17.42778267,6.97652855,-38.52539617,0.909757,0.351933,9.59555,0.000216503,7.17E-05,0.000355717,0.925155,0.358846,9.75633,-17.4286,6.92246,-38.47,0.95764,0.404603,9.62667,0.00265996,0.00251516,0.00341004,0.929289,0.365006,9.75673,-15.3192,9.2966,-35.6085,0.87624,0.28011,9.56682,-0.0028462,-0.00237176,-0.0045312,0.921598,0.354592,9.75572,-19.5549,4.67063,-41.1796,9.22E-05,0.000108404,8.81E-05,8.12E-07,6.35E-07,6.37E-07,1.81E-06,9.07E-07,1.96E-08,0.544300379,0.526682042,0.633092907
5.28 AM,3,0.912690222,0.350615772,9.5927218,-9.77E-05,0.000457751,0.000223465,0.92557237,0.356289865,9.756368917,-17.35346717,7.091965817,-38.47524383,0.912152,0.349538,9.59315,-0.000327782,0.000205329,4.47E-05,0.924744,0.355696,9.756445,-17.30225,7.057445,-38.4604,1.12523,0.493184,9.73201,0.00272654,0.00631398,0.00737507,0.953852,0.363866,9.75734,-15.0221,9.16093,-36.0455,0.847511,0.306445,9.55724,-0.00460383,-0.0114011,-0.00484222,0.916542,0.348591,9.75343,-20.304,4.80529,-40.8836,0.000215518,0.000136093,0.000124861,7.86E-07,1.45E-06,8.03E-07,2.14E-05,3.94E-06,2.37E-07,0.564480585,0.602124543,0.591195995
5.29 AM,3,0.904478428,0.345508385,9.597642317,2.38E-07,2.44E-05,1.21E-05,0.919570855,0.351149763,9.757123933,-17.25564233,7.0922064,-38.5051855,0.904969,0.34475,9.59794,-0.000135955,-0.000212314,4.47E-05,0.9194045,0.3511665,9.75714,-17.2852,7.05476,-38.4598,0.938487,0.371085,9.62667,0.00291837,0.00284201,0.00273073,0.926251,0.356292,9.7575,-14.8799,9.1445,-35.94,0.852299,0.313627,9.56921,-0.00257941,-0.00265577,-0.00276705,0.915669,0.348847,9.75642,-19.4052,4.66739,-41.187,7.68E-05,8.67E-05,7.87E-05,7.50E-07,7.80E-07,5.40E-07,2.57E-06,1.27E-06,3.03E-08,0.518044188,0.55144302,0.644322526
5.30 AM,3,0.90793392,0.348417213,9.598084833,1.93E-05,-0.000147936,-7.04E-05,0.923386118,0.354280615,9.756650433,-17.14597717,7.053864117,-38.48146617,0.907363,0.349538,9.59794,-4.38E-05,-8.01E-05,-0.000257941,0.9233805,0.354344,9.75665,-17.1373,7.05365,-38.4539,0.938487,0.371085,9.62667,0.00239969,0.00236338,0.00218552,0.926847,0.357254,9.75712,-15.1687,9.60733,-36.0594,0.881028,0.323203,9.56682,-0.00257941,-0.00313441,-0.00209054,0.919734,0.350751,9.75629,-19.5444,4.55161,-40.6024,6.58E-05,7.35E-05,8.88E-05,7.48E-07,7.13E-07,4.89E-07,1.72E-06,1.60E-06,1.80E-08,0.549839636,0.578463025,0.612193512
5.31 AM,3,0.906932385,0.347391737,9.593775317,5.12E-05,-7.36E-05,-0.000100259,0.922540682,0.353733363,9.756750267,-17.05996317,7.092470283,-38.44369633,0.907363,0.347144,9.59315,-7.82E-05,1.86E-06,-0.000228143,0.922608,0.353724,9.75674,-17.1197,7.07221,-38.46715,0.931304,0.371085,9.61709,0.0029761,0.00244532,0.00221532,0.926801,0.355905,9.75716,-14.8557,9.28883,-35.4512,0.878634,0.318415,9.56921,-0.00252168,-0.00305246,-0.00206074,0.919186,0.35069,9.75629,-19.2426,4.50886,-40.8821,7.42E-05,7.47E-05,7.82E-05,8.24E-07,6.96E-07,4.54E-07,2.62E-06,9.12E-07,3.14E-08,0.555858207,0.566267922,0.607794888
5.32 AM,1,0.90383203,0.345524332,9.592666417,4.03E-06,-7.47E-05,2.76E-05,0.920185618,0.351627992,9.757048867,-17.03496717,7.099479367,-38.44112767,0.902575,0.34475,9.59315,-0.00013968,4.05E-05,-0.000162028,0.9201515,0.351652,9.75705,-17.1186,7.07234,-38.4613,0.92891,0.368691,9.62428,0.00230378,0.00248397,0.00228143,0.927128,0.354386,9.75744,-14.5337,9.7691,-35.7756,0.881028,0.320809,9.56682,-0.00258314,-0.00305246,-0.00206074,0.916777,0.348689,9.7563,-18.7951,4.27289,-40.7439,6.53E-05,7.72E-05,7.62E-05,8.03E-07,6.47E-07,5.20E-07,2.14E-06,1.39E-06,2.45E-08,0.513710837,0.581949464,0.708998758
5.33 AM,1,0.9024235,0.343908307,9.592390983,-6.67E-05,-5.15E-05,3.12E-05,0.918711833,0.349995055,9.757246333,-16.96477833,7.128326817,-38.50305467,0.902575,0.342356,9.59315,-9.03E-05,4.05E-05,-0.000156441,0.918662,0.349935,9.75725,-16.9919,7.092055,-38.4715,0.931304,0.373479,9.61949,0.00235313,0.00263854,0.00228702,0.922814,0.352405,9.75765,-14.5781,9.31738,-36.3614,0.869058,0.320809,9.56203,-0.00253379,-0.00240295,-0.00198903,0.915014,0.348262,9.75686,-19.3939,4.71787,-41.478,6.34E-05,7.35E-05,8.56E-05,7.63E-07,7.36E-07,5.38E-07,2.17E-06,5.25E-07,2.17E-08,0.580135095,0.599481125,0.662493779
5.34 AM,1,0.904965238,0.344227508,9.58968965,-5.81E-05,1.51E-05,3.99E-05,0.920109278,0.35029444,9.757103833,-16.82495767,7.142619933,-38.49185567,0.904969,0.34475,9.58956,3.72E-06,-0.000263061,-0.000135024,0.9201345,0.3502595,9.7571,-16.83545,7.08817,-38.4662,0.95764,0.409391,9.63625,0.00244718,0.00263854,0.00414103,0.92416,0.357992,9.75758,-14.5612,9.15005,-36.0563,0.878634,0.263351,9.55724,-0.00243973,-0.00270652,-0.00685454,0.916386,0.343745,9.75644,-19.2557,4.67516,-40.7427,7.72E-05,0.00010616,9.18E-05,7.12E-07,7.09E-07,6.75E-07,1.84E-06,1.02E-06,2.16E-08,0.560780007,0.609598675,0.639663333
