accX_variances1,accY_variances1,accZ_variances1,gyroX_variances1,gyroY_variances1,gyroZ_variances1,gravX_variances1,gravY_variances1,gravZ_variances1,magX_variances1,magY_variances1,magZ_variances1,accX_variances2,accY_variances2,accZ_variances2,gyroX_variances2,gyroY_variances2,gyroZ_variances2,gravX_variances2,gravY_variances2,gravZ_variances2,magX_variances2,magY_variances2,magZ_variances2,accX_variances3,accY_variances3,accZ_variances3,gyroX_variances3,gyroY_variances3,gyroZ_variances3,gravX_variances3,gravY_variances3,gravZ_variances3,magX_variances3,magY_variances3,magZ_variances3,accX_variances4,accY_variances4,accZ_variances4,gyroX_variances4,gyroY_variances4,gyroZ_variances4,gravX_variances4,gravY_variances4,gravZ_variances4,magX_variances4,magY_variances4,magZ_variances4,accX_variances5,accY_variances5,accZ_variances5,gyroX_variances5,gyroY_variances5,gyroZ_variances5,gravX_variances5,gravY_variances5,gravZ_variances5,magX_variances5,magY_variances5,magZ_variances5,tags
1.039111061,2.125646199,0.438745095,0.044698572,0.121344884,0.07460554,0.875696872,2.130125568,0.380543449,19.15054384,119.4687746,20.13167663,0.005622912,0.003223505,0.000479881,1.06E-05,4.95E-05,1.83E-05,0.00582764,0.001508647,0.00010647,0.603988891,0.595874803,0.606143436,0.000127048,0.00010063,9.49E-05,8.36E-07,1.43E-06,6.29E-07,3.68E-05,6.27E-06,4.73E-07,0.57853941,0.544264735,0.637662496,0.000178027,0.000136787,9.60E-05,8.53E-07,1.08E-06,6.34E-07,1.43E-05,2.58E-06,1.73E-07,0.548783865,0.568869595,0.620309157,8.91E-05,7.31E-05,8.61E-05,7.04E-07,7.04E-07,5.38E-07,9.47E-06,1.43E-06,1.07E-07,0.504837571,0.512124518,0.637569906,3
0.000125741,0.00012242,8.95E-05,8.04E-07,8.15E-07,5.73E-07,3.51E-06,2.95E-06,2.86E-08,0.536046736,0.572450974,0.615266177,9.22E-05,0.000108404,8.81E-05,8.12E-07,6.35E-07,6.37E-07,1.81E-06,9.07E-07,1.96E-08,0.544300379,0.526682042,0.633092907,0.000215518,0.000136093,0.000124861,7.86E-07,1.45E-06,8.03E-07,2.14E-05,3.94E-06,2.37E-07,0.564480585,0.602124543,0.591195995,7.68E-05,8.67E-05,7.87E-05,7.50E-07,7.80E-07,5.40E-07,2.57E-06,1.27E-06,3.03E-08,0.518044188,0.55144302,0.644322526,6.58E-05,7.35E-05,8.88E-05,7.48E-07,7.13E-07,4.89E-07,1.72E-06,1.60E-06,1.80E-08,0.549839636,0.578463025,0.612193512,3
7.42E-05,7.47E-05,7.82E-05,8.24E-07,6.96E-07,4.54E-07,2.62E-06,9.12E-07,3.14E-08,0.555858207,0.566267922,0.607794888,6.53E-05,7.72E-05,7.62E-05,8.03E-07,6.47E-07,5.20E-07,2.14E-06,1.39E-06,2.45E-08,0.513710837,0.581949464,0.708998758,6.34E-05,7.35E-05,8.56E-05,7.63E-07,7.36E-07,5.38E-07,2.17E-06,5.25E-07,2.17E-08,0.580135095,0.599481125,0.662493779,7.72E-05,0.00010616,9.18E-05,7.12E-07,7.09E-07,6.75E-07,1.84E-06,1.02E-06,2.16E-08,0.560780007,0.609598675,0.639663333,0.000127462,0.000121633,0.000107244,8.00E-07,7.69E-07,7.15E-07,2.71E-06,1.79E-06,3.18E-08,0.541860455,0.527147186,0.712592026,3
6.43E-05,7.43E-05,0.000131029,8.09E-07,7.10E-07,4.57E-07,1.73E-06,1.92E-06,2.21E-08,0.584825966,0.550985492,0.678022032,0.000112296,0.000106291,8.74E-05,8.04E-07,8.11E-07,5.83E-07,5.92E-06,6.43E-06,9.75E-08,0.548566409,0.602978637,0.622277123,7.20E-05,7.58E-05,8.56E-05,7.92E-07,6.18E-07,4.67E-07,1.69E-06,9.08E-07,1.88E-08,0.580230004,0.628078774,0.662245654,8.28E-05,8.20E-05,8.83E-05,7.52E-07,7.13E-07,5.27E-07,2.08E-06,8.82E-07,2.29E-08,0.604742856,0.59235766,0.682156169,7.53E-05,7.63E-05,9.40E-05,7.63E-07,7.39E-07,4.77E-07,2.44E-06,1.66E-06,2.68E-08,0.641949078,0.602578833,0.698148691,1
7.57E-05,8.00E-05,9.55E-05,8.53E-07,7.47E-07,5.58E-07,3.56E-06,8.65E-07,3.87E-08,0.65562212,0.573505474,0.641966688,0.048578655,0.01433755,0.001182602,1.12E-05,2.25E-05,9.91E-06,0.042595738,0.013267968,0.000902887,1.770575445,0.99146379,0.746094975,0.000671132,0.000438606,0.000135526,1.47E-06,4.40E-06,1.51E-06,0.000899994,0.000234185,3.17E-05,0.637733316,0.648564618,0.734475324,0.000199922,0.000223081,0.000125957,1.56E-06,1.29E-06,9.89E-07,2.53E-05,3.47E-05,1.49E-06,0.63776084,0.618409045,0.748952272,0.062055409,0.013780742,0.003585898,0.000356669,0.000888837,6.38E-05,0.055506638,0.009760619,0.001689918,1.95873255,0.770555258,0.786794109,1
0.000179028,0.000131644,9.15E-05,1.20E-06,1.20E-06,6.77E-07,2.68E-05,8.01E-06,6.60E-07,0.639730943,0.656421855,0.716865469,0.000107606,0.000109837,8.66E-05,9.87E-07,1.07E-06,5.21E-07,5.79E-06,2.33E-06,1.64E-07,0.626231601,0.638790924,0.680012049,0.000287014,0.000153212,0.000105701,1.21E-06,1.31E-06,6.76E-07,2.55E-05,2.90E-06,7.82E-07,0.683738344,0.6374222,0.708461673,8.66E-05,9.61E-05,8.85E-05,1.03E-06,1.13E-06,5.98E-07,4.62E-06,2.69E-06,1.27E-07,0.662823597,0.609779655,0.650270575,8.43E-05,9.70E-05,9.53E-05,9.94E-07,1.14E-06,5.58E-07,6.11E-06,1.21E-06,2.03E-07,0.624734639,0.614682402,0.713179507,1
0.000139104,9.58E-05,9.92E-05,1.06E-06,1.24E-06,5.75E-07,4.61E-06,1.36E-06,1.42E-07,0.590798037,0.629724816,0.710021385,0.000101942,9.85E-05,9.07E-05,1.16E-06,1.82E-06,6.44E-07,5.44E-06,1.37E-06,1.67E-07,0.536759169,0.619277195,0.763939193,0.000241631,0.000137795,0.000113748,1.39E-06,1.73E-06,7.19E-07,9.16E-06,2.31E-06,3.17E-07,0.624777409,0.5992023,0.729993479,9.68E-05,8.98E-05,9.36E-05,1.31E-06,2.36E-06,5.34E-07,3.73E-06,2.80E-06,1.25E-07,0.653905846,0.670081666,0.722781364,7.88E-05,0.000119695,9.45E-05,1.35E-06,2.41E-06,5.77E-07,4.32E-06,1.58E-06,1.33E-07,0.623170193,0.609400274,0.726609812,1
0.000107132,9.29E-05,9.19E-05,1.33E-06,2.50E-06,5.95E-07,6.79E-06,2.21E-06,2.01E-07,0.611547884,0.639551173,0.711542692,0.000549878,0.000361988,0.00014374,2.39E-06,4.72E-06,1.47E-06,2.59E-05,1.21E-05,8.77E-07,0.597838498,0.567600017,0.744083961,0.000101942,9.30E-05,8.30E-05,1.97E-06,4.01E-06,5.93E-07,5.44E-06,2.10E-06,1.57E-07,0.647668894,0.661543239,0.669397932,0.021682682,0.002386272,0.000822205,1.21E-05,5.92E-05,4.27E-06,0.017855077,0.002015334,0.000581255,1.140660864,0.715989225,0.726616663,0.004920233,0.000420722,0.000362646,1.10E-05,0.000123454,3.96E-06,0.004777514,0.000181288,0.000151468,0.743421589,0.614779407,0.723048116,1
0.000115949,0.000109924,9.72E-05,3.09E-06,7.12E-06,5.97E-07,1.38E-05,1.60E-06,4.79E-07,0.689920098,0.611863703,0.697577718,8.96E-05,0.000114098,9.06E-05,2.90E-06,6.92E-06,6.62E-07,6.46E-06,1.77E-06,1.88E-07,0.599340126,0.603693122,0.68262483,0.000126209,0.000110283,9.67E-05,3.71E-06,1.06E-05,8.54E-07,5.71E-06,1.74E-06,1.78E-07,0.626405534,0.668656209,0.703501633,0.000114216,0.000213554,8.88E-05,4.47E-06,1.07E-05,7.96E-07,7.97E-06,2.51E-06,2.53E-07,0.620914848,0.722119403,0.722041922,0.033439667,0.000810546,0.001131538,1.19E-05,6.80E-05,2.40E-06,0.030763616,0.000471744,0.00085029,1.466775742,0.75884295,0.733735336,1
0.001658854,0.000329744,0.000144515,5.10E-06,2.57E-05,1.40E-06,0.001492596,0.000157836,3.29E-05,0.728773787,0.654893903,0.694785621,0.000148404,0.000118545,9.84E-05,3.54E-06,8.89E-06,5.99E-07,8.28E-06,1.93E-06,1.77E-07,0.609967198,0.626668006,0.70416625,0.017993434,0.008722524,0.001242651,4.93E-05,0.000237201,0.00012719,0.007652016,0.000946346,0.000129731,0.696815477,0.635359392,0.659508606,0.000586248,0.000177423,9.79E-05,3.04E-06,7.60E-06,9.76E-07,0.000205101,1.28E-05,2.13E-06,0.654605284,0.725099666,0.715139974,0.000106014,0.000116307,8.78E-05,3.00E-06,7.03E-06,5.45E-07,5.28E-06,1.13E-06,4.95E-08,0.593341338,0.623162579,0.715427672,1
