accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,5.044928555,3.493556678,5.644175539,6.760935,4.66251,4.06757,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,9.137379788,7.82636135,9.39009302,1
3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,3.214149344,1.73970976,7.581500094,1.43287,0.04429085,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,7.927048252,6.990249242,8.448890089,1
2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,2.632242313,1.150412324,8.222178213,1.45561,-0.0167587,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,5.961066339,5.353908321,6.452508231,1
2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,2.351458722,0.852961512,8.540978018,1.48434,-0.0263351,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,4.706817318,4.280435917,5.143761514,1
2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,2.184828744,0.674886849,8.731874131,1.50349,-0.0287292,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.876254981,3.55096547,4.260497201,1
1.480618047,-0.031364306,9.50180508,1.50828,-0.0359115,9.49978,1.97274,0.34475,9.86369,0.986369,-0.481214,9.04251,0.005987307,0.000926178,0.000753773,2.074669798,0.556122525,8.858866823,1.51068,-0.0311233,9.49739,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.290747743,3.029536545,3.630891671,2.074669798,0.556122525,8.858866823,1.51068,-0.0311233,9.49739,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.290747743,3.029536545,3.630891671,2.074669798,0.556122525,8.858866823,1.51068,-0.0311233,9.49739,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,3.290747743,3.029536545,3.630891671,1
1.494707267,-0.035198058,9.500257707,1.51307,-0.0359115,9.49739,1.72375,0.19871,9.66498,1.07495,-0.313627,9.34177,0.003735488,0.000415687,0.000293823,1.985976432,0.471918462,8.952041246,1.51068,-0.0335174,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.869697595,2.639392881,3.164273378,1.985976432,0.471918462,8.952041246,1.51068,-0.0335174,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.869697595,2.639392881,3.164273378,1.985976432,0.471918462,8.952041246,1.51068,-0.0335174,9.49978,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.869697595,2.639392881,3.164273378,1
1.426497835,-0.019014741,9.51174224,1.51307,-0.0359115,9.49978,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.029296087,0.004408267,0.001083059,1.878652014,0.419520408,9.02815573,1.50589,-0.0311233,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.593741305,2.330361759,2.80936814,1.878652014,0.419520408,9.02815573,1.50589,-0.0311233,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.593741305,2.330361759,2.80936814,1.878652014,0.419520408,9.02815573,1.50589,-0.0311233,9.50218,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.593741305,2.330361759,2.80936814,1
1.352829094,0.002863339,9.52255807,1.50828,-0.02753215,9.50936,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.03936229,0.005554028,0.001259402,1.796664484,0.380684749,9.086300269,1.49631,-0.0263351,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.359582101,2.083529943,2.524231651,1.796664484,0.380684749,9.086300269,1.49631,-0.0263351,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.359582101,2.083529943,2.524231651,1.796664484,0.380684749,9.086300269,1.49631,-0.0263351,9.50457,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.359582101,2.083529943,2.524231651,1
1.284616528,0.026548167,9.532316473,1.18508,0.047882,9.54048,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.035576392,0.005935146,0.001116902,1.734722636,0.350717508,9.132095302,1.46279,-0.0215469,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.158218926,1.883257129,2.290655545,1.734722636,0.350717508,9.132095302,1.46279,-0.0215469,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.158218926,1.883257129,2.290655545,1.734722636,0.350717508,9.132095302,1.46279,-0.0215469,9.50697,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,2.158218926,1.883257129,2.290655545,1
1.215428745,0.050636797,9.542255283,1.1755,0.071823,9.54527,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.021614851,0.005162969,0.000746327,1.348023396,0.009636246,9.522030182,1.43646,-0.0215469,9.51415,2.54972,1.00792,9.86369,0.258563,-1.41252,9.04251,0.031383051,0.004725392,0.001159048,1.684105683,0.326356285,9.169497941,1.44364,-0.0143646,9.51175,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.987625923,1.71797281,2.096383021,1.684105683,0.326356285,9.169497941,1.44364,-0.0143646,9.51175,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.987625923,1.71797281,2.096383021,1
1.153537365,0.070012246,9.54923654,1.16593,0.0742171,9.54767,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.004874501,0.003246894,0.000400332,1.324122316,0.017407094,9.524747123,1.26169,0.0047882,9.52851,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.033408353,0.004598748,0.000946851,1.63912682,0.304457539,9.200872618,1.39337,0.023941,9.51894,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.844304727,1.580111571,1.93250568,1.63912682,0.304457539,9.200872618,1.39337,0.023941,9.51894,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.844304727,1.580111571,1.93250568,1
1.152680233,0.071670561,9.54677142,1.16114,0.071823,9.54767,1.45082,0.227439,9.64822,0.799629,-0.14604,9.45669,0.001448838,0.000436146,0.000145382,1.289589034,0.02632791,9.52925683,1.18268,0.0526702,9.53809,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.034117044,0.004478102,0.00092093,1.599432098,0.285732005,9.227623303,1.2976,0.0430938,9.52851,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.721335726,1.462764176,1.792427153,1.599432098,0.285732005,9.227623303,1.2976,0.0430938,9.52851,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.721335726,1.462764176,1.792427153,1
1.148267864,0.070156695,9.546393157,1.13959,0.0694289,9.54767,1.45082,0.217863,9.64822,0.799629,-0.14604,9.47345,0.001106649,0.000329008,0.00011873,1.250548479,0.036510017,9.534475613,1.17311,0.0598525,9.54288,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.030694165,0.004073315,0.000831003,1.565094263,0.269781873,9.250619158,1.215005,0.0502761,9.5333,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.613705095,1.36158263,1.671262447,1.565094263,0.269781873,9.250619158,1.215005,0.0502761,9.5333,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.613705095,1.36158263,1.671262447,1
1.140732097,0.070325077,9.54742969,1.13241,0.0670348,9.54767,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.002613836,0.000788442,0.000210872,1.212674312,0.048436622,9.539873082,1.16353,0.0646407,9.54527,2.54972,1.00792,9.77989,-0.440514,-1.41252,9.31065,0.024268476,0.003840418,0.000720888,1.53672579,0.257253364,9.270540098,1.18987,0.0526702,9.5357,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.518017975,1.273170784,1.565427306,1.53672579,0.257253364,9.270540098,1.18987,0.0526702,9.5357,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.518017975,1.273170784,1.565427306,1
1.131010536,0.069505501,9.549052037,1.12762,0.0670348,9.55006,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.002290334,0.000770841,0.00021221,1.17321964,0.060071149,9.54565366,1.14199,0.0694289,9.54767,2.54972,1.00792,9.77989,-0.440514,-1.41252,9.31065,0.013732505,0.003055432,0.000490739,1.511263449,0.246090415,9.288108596,1.18268,0.0574584,9.53809,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.432874289,1.195466428,1.472215275,1.511263449,0.246090415,9.288108596,1.18268,0.0574584,9.53809,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.432874289,1.195466428,1.472215275,1
