accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
4.518845452,4.133611808,14.85752484,23.5099821,4.518845452,4.133611808,14.85752484,23.5099821,4.518845452,4.133611808,14.85752484,23.5099821,4.518845452,4.133611808,14.85752484,23.5099821,1
7.248277655,13.38153792,29.28958418,49.91939976,7.248277655,13.38153792,29.28958418,49.91939976,7.248277655,13.38153792,29.28958418,49.91939976,7.248277655,13.38153792,29.28958418,49.91939976,1
6.008398345,11.54417748,24.40134643,41.95392226,6.008398345,11.54417748,24.40134643,41.95392226,6.008398345,11.54417748,24.40134643,41.95392226,6.008398345,11.54417748,24.40134643,41.95392226,1
4.92497398,9.632964705,20.12114027,34.67907896,4.92497398,9.632964705,20.12114027,34.67907896,4.92497398,9.632964705,20.12114027,34.67907896,4.92497398,9.632964705,20.12114027,34.67907896,1
4.633654185,8.390612358,20.18086445,33.20513099,4.633654185,8.390612358,20.18086445,33.20513099,4.633654185,8.390612358,20.18086445,33.20513099,4.633654185,8.390612358,20.18086445,33.20513099,1
1.403315631,0.687432342,10.96065861,13.05140658,4.469477339,7.593098909,22.00645633,34.06903258,4.469477339,7.593098909,22.00645633,34.06903258,4.469477339,7.593098909,22.00645633,34.06903258,1
1.410843177,0.679455466,10.96246897,13.05276761,3.963956618,6.723176506,19.42690174,30.11403486,3.963956618,6.723176506,19.42690174,30.11403486,3.963956618,6.723176506,19.42690174,30.11403486,1
1.419031573,0.682567491,10.95938175,13.06098081,3.556885665,6.025353275,17.36832927,26.95056821,3.556885665,6.025353275,17.36832927,26.95056821,3.556885665,6.025353275,17.36832927,26.95056821,1
1.426347706,0.680012044,10.95904957,13.06540932,3.223624565,5.455266473,15.69577298,24.37466402,3.223624565,5.455266473,15.69577298,24.37466402,3.223624565,5.455266473,15.69577298,24.37466402,1
0.809185489,0.457707409,7.002856778,8.269749676,2.94652794,4.981546307,14.31205783,22.24013208,2.94652794,4.981546307,14.31205783,22.24013208,2.94652794,4.981546307,14.31205783,22.24013208,1
0.001534063,0.000748485,0.000228071,0.002510619,0.730863209,0.354796812,5.604612329,6.69027235,2.712563214,4.581922808,13.14763259,20.44211861,2.712563214,4.581922808,13.14763259,20.44211861,1
0.001805734,0.000698836,0.000220489,0.002725059,0.730873299,0.346538269,5.604471382,6.68188295,2.513926475,4.240211954,12.15570003,18.90983846,2.513926475,4.240211954,12.15570003,18.90983846,1
0.003252245,0.001628599,0.000323029,0.005203873,0.732745945,0.346125686,5.602372101,6.681243732,2.339665103,3.94546379,11.30098205,17.58611094,2.339665103,3.94546379,11.30098205,17.58611094,1
0.00337818,0.001770241,0.000333941,0.005482362,0.732469122,0.342986935,5.600035226,6.675491283,2.188199597,3.689776564,10.55727125,16.43524741,2.188199597,3.689776564,10.55727125,16.43524741,1
0.003532889,0.001885414,0.000335344,0.005753647,0.412718662,0.230549887,3.547116507,4.190385056,2.055097873,3.464884007,9.904689852,15.42467173,2.055097873,3.464884007,9.904689852,15.42467173,1
0.004065433,0.002081562,0.000358678,0.006505673,0.002800456,0.001420217,0.000333268,0.004553941,1.93731312,3.265572591,9.32766444,14.53055015,1.93731312,3.265572591,9.32766444,14.53055015,1
0.003713972,0.002063823,0.000350412,0.006128207,0.002780012,0.001389419,0.000331172,0.004500603,1.832019883,3.087739678,8.813849705,13.73360927,1.832019883,3.087739678,8.813849705,13.73360927,1
0.001636293,0.000837353,0.000209025,0.002682671,0.002447535,0.001254109,0.000308758,0.004010402,1.737464608,2.928077033,8.353345104,13.01888675,1.737464608,2.928077033,8.353345104,13.01888675,1
0.001579174,0.000757937,0.000212642,0.002549753,0.002480275,0.001273057,0.00030174,0.004055072,1.652291668,2.783918442,7.938307137,12.37451725,1.652291668,2.783918442,7.938307137,12.37451725,1
0.001331698,0.000616283,0.000175839,0.00212382,0.002434105,0.001254931,0.000268312,0.003957348,1.574770414,2.653357058,7.562476669,11.79060414,1.574770414,2.653357058,7.562476669,11.79060414,1
0.000754961,0.000454217,0.000151133,0.001360311,0.002412069,0.001269166,0.000261469,0.003942704,0.373801189,0.181022505,2.830839725,3.385663419,1.504191948,2.534442356,7.220497708,11.25913201,1
0.001172193,0.000642306,0.000186468,0.002000967,0.002444761,0.001355573,0.000271338,0.004071672,0.371995804,0.175732084,2.830518855,3.378246743,1.439312876,2.425211477,6.908151032,10.77267539,1
0.001240141,0.000703701,0.000202223,0.002146065,0.001455856,0.000790909,0.000205961,0.002452726,0.371922711,0.174620967,2.829553427,3.376097105,1.379927925,2.324966215,6.621841152,10.32673529,1
0.001317324,0.000737383,0.000195822,0.002250529,0.001485475,0.000769618,0.000204554,0.002459647,0.370801503,0.17243407,2.828468848,3.371704421,1.325268262,2.232767314,6.358317153,9.916352729,1
0.001574826,0.000843851,0.000228504,0.002647181,0.001490048,0.000760796,0.00020372,0.002454564,0.208351043,0.115824273,1.784414018,2.108589334,1.27482079,2.147613376,6.1148151,9.537249266,1
