accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
0.736054177,0.197971912,4.451673897,5.385699986,0.736054177,0.197971912,4.451673897,5.385699986,0.736054177,0.197971912,4.451673897,5.385699986,0.736054177,0.197971912,4.451673897,5.385699986,1
17.61903802,20.87156656,4.122579623,42.6131842,17.61903802,20.87156656,4.122579623,42.6131842,17.61903802,20.87156656,4.122579623,42.6131842,17.61903802,20.87156656,4.122579623,42.6131842,1
20.42686466,24.64397759,3.071767326,48.14260958,20.42686466,24.64397759,3.071767326,48.14260958,20.42686466,24.64397759,3.071767326,48.14260958,20.42686466,24.64397759,3.071767326,48.14260958,1
18.30530826,25.13538399,4.310970678,47.75166293,18.30530826,25.13538399,4.310970678,47.75166293,18.30530826,25.13538399,4.310970678,47.75166293,18.30530826,25.13538399,4.310970678,47.75166293,1
16.23413306,23.23024797,3.673258045,43.13763908,16.23413306,23.23024797,3.673258045,43.13763908,16.23413306,23.23024797,3.673258045,43.13763908,16.23413306,23.23024797,3.673258045,43.13763908,1
6.007579823,8.670944344,3.665483108,18.34400728,14.54597109,21.06466417,3.940732017,39.55136728,14.54597109,21.06466417,3.940732017,39.55136728,14.54597109,21.06466417,3.940732017,39.55136728,1
2.335814849,4.506241503,5.846934034,12.68899039,13.34480953,19.96853972,6.217460409,39.53080966,13.34480953,19.96853972,6.217460409,39.53080966,13.34480953,19.96853972,6.217460409,39.53080966,1
6.189442972,9.364791781,12.37278159,27.92701634,12.99811826,18.73945334,12.33069149,44.06826309,12.99811826,18.73945334,12.33069149,44.06826309,12.99811826,18.73945334,12.33069149,44.06826309,1
8.418535104,10.56700864,15.83159952,34.81714326,12.85037926,17.43535407,16.22296283,46.50869616,12.85037926,17.43535407,16.22296283,46.50869616,12.85037926,17.43535407,16.22296283,46.50869616,1
7.223284722,9.464200279,12.62846248,29.31594748,12.15679845,16.56761834,17.58907269,46.31348948,12.15679845,16.56761834,17.58907269,46.31348948,12.15679845,16.56761834,17.58907269,46.31348948,1
7.113009259,6.889550878,8.978575757,22.98113589,11.01764204,11.23930436,18.77972155,41.03666795,13.18136119,15.67155084,19.18702935,48.03994138,13.18136119,15.67155084,19.18702935,48.03994138,1
19.46893962,10.41896244,6.1652746,36.05317666,23.45236257,10.30686548,17.45282929,51.21205734,23.12961335,16.39768097,19.34121988,58.8685142,23.12961335,16.39768097,19.34121988,58.8685142,1
