accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
-2.901679745,0.107135883,-4.296425488,0.237016,-0.0646407,-9.75715,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,18.59335626,2.1832661,48.78595949,-2.901679745,0.107135883,-4.296425488,0.237016,-0.0646407,-9.75715,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,18.59335626,2.1832661,48.78595949,-2.901679745,0.107135883,-4.296425488,0.237016,-0.0646407,-9.75715,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,18.59335626,2.1832661,48.78595949,-2.901679745,0.107135883,-4.296425488,0.237016,-0.0646407,-9.75715,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,18.59335626,2.1832661,48.78595949,1
-1.335037323,-0.004030092,-7.042758219,0.232228,-0.117311,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,11.74541454,1.103325638,31.92138167,-1.335037323,-0.004030092,-7.042758219,0.232228,-0.117311,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,11.74541454,1.103325638,31.92138167,-1.335037323,-0.004030092,-7.042758219,0.232228,-0.117311,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,11.74541454,1.103325638,31.92138167,-1.335037323,-0.004030092,-7.042758219,0.232228,-0.117311,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,11.74541454,1.103325638,31.92138167,1
-0.814439203,-0.049198753,-7.957790135,0.229833,-0.129281,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,8.370477628,0.739469394,22.95069443,-0.814439203,-0.049198753,-7.957790135,0.229833,-0.129281,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,8.370477628,0.739469394,22.95069443,-0.814439203,-0.049198753,-7.957790135,0.229833,-0.129281,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,8.370477628,0.739469394,22.95069443,-0.814439203,-0.049198753,-7.957790135,0.229833,-0.129281,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,8.370477628,0.739469394,22.95069443,1
-0.535941994,-0.102300861,-8.411969268,0.229833,-0.136464,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,6.514799247,0.573221625,17.82997494,-0.535941994,-0.102300861,-8.411969268,0.229833,-0.136464,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,6.514799247,0.573221625,17.82997494,-0.535941994,-0.102300861,-8.411969268,0.229833,-0.136464,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,6.514799247,0.573221625,17.82997494,-0.535941994,-0.102300861,-8.411969268,0.229833,-0.136464,-9.78229,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,6.514799247,0.573221625,17.82997494,1
-0.322308767,-0.213107524,-8.677141258,0.234622,-0.14604,-9.77032,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,5.394043002,0.507731499,14.54423761,-0.322308767,-0.213107524,-8.677141258,0.234622,-0.14604,-9.77032,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,5.394043002,0.507731499,14.54423761,-0.322308767,-0.213107524,-8.677141258,0.234622,-0.14604,-9.77032,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,5.394043002,0.507731499,14.54423761,-0.322308767,-0.213107524,-8.677141258,0.234622,-0.14604,-9.77032,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,5.394043002,0.507731499,14.54423761,1
0.366562855,-0.371427673,-9.766124253,0.241804,-0.155616,-9.76313,1.01031,-0.0526702,-9.56442,0.162799,-1.02707,-10.0361,0.024265486,0.070543159,0.000973073,-0.178144245,-0.29166708,-8.854507793,0.23941,-0.153222,-9.76313,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,4.59874894,0.453972455,12.27688532,-0.178144245,-0.29166708,-8.854507793,0.23941,-0.153222,-9.76313,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,4.59874894,0.453972455,12.27688532,-0.178144245,-0.29166708,-8.854507793,0.23941,-0.153222,-9.76313,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,4.59874894,0.453972455,12.27688532,1
0.429364861,-0.487953246,-9.758241227,0.529096,-0.658377,-9.75356,1.01031,-0.110129,-9.56442,0.196316,-1.02707,-10.0361,0.023078626,0.065068655,0.000839653,-0.074750048,-0.349689488,-8.982388939,0.263351,-0.299262,-9.75835,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,4.005798803,0.409324944,10.62078968,-0.074750048,-0.349689488,-8.982388939,0.263351,-0.299262,-9.75835,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,4.005798803,0.409324944,10.62078968,-0.074750048,-0.349689488,-8.982388939,0.263351,-0.299262,-9.75835,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,4.005798803,0.409324944,10.62078968,1
0.493689517,-0.601751947,-9.750339787,0.538672,-0.684712,-9.74877,1.01031,-0.119705,-9.56442,0.196316,-1.02707,-10.0361,0.013562414,0.037559002,0.000555417,0.003141247,-0.394544499,-9.078133667,0.521914,-0.629648,-9.75595,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,3.547460674,0.372249281,9.357127216,0.003141247,-0.394544499,-9.078133667,0.521914,-0.629648,-9.75595,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,3.547460674,0.372249281,9.357127216,0.003141247,-0.394544499,-9.078133667,0.521914,-0.629648,-9.75595,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,3.547460674,0.372249281,9.357127216,0
0.54463834,-0.693150653,-9.743044167,0.545855,-0.696683,-9.74398,0.588948,-0.598525,-9.68413,0.500367,-0.768506,-9.78947,0.000151046,0.000621453,0.00023784,0.064380414,-0.430550745,-9.151455323,0.53149,-0.660771,-9.75356,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,3.183242858,0.341265738,8.360283452,0.064380414,-0.430550745,-9.151455323,0.53149,-0.660771,-9.75356,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,3.183242858,0.341265738,8.360283452,0.064380414,-0.430550745,-9.151455323,0.53149,-0.660771,-9.75356,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,3.183242858,0.341265738,8.360283452,0
0.550133582,-0.706801806,-9.744964127,0.550643,-0.708653,-9.74638,0.588948,-0.653589,-9.6961,0.507549,-0.768506,-9.78947,0.000135264,0.000318953,0.000165493,0.113912407,-0.459954665,-9.211052692,0.536278,-0.675136,-9.75116,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,2.886960177,0.31492655,7.556098253,0.113912407,-0.459954665,-9.211052692,0.536278,-0.675136,-9.75116,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,2.886960177,0.31492655,7.556098253,0.113912407,-0.459954665,-9.211052692,0.536278,-0.675136,-9.75116,6.50955,7.21103,7.4648,-10.7711,-4.53203,-21.7528,2.886960177,0.31492655,7.556098253,0
