accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
-3.024160067,1.092766615,7.178278667,-1.25547,0.79216,8.68502,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,10.12168413,0.307429126,8.835301913,-3.024160067,1.092766615,7.178278667,-1.25547,0.79216,8.68502,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,10.12168413,0.307429126,8.835301913,-3.024160067,1.092766615,7.178278667,-1.25547,0.79216,8.68502,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,10.12168413,0.307429126,8.835301913,-3.024160067,1.092766615,7.178278667,-1.25547,0.79216,8.68502,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,10.12168413,0.307429126,8.835301913,1
-2.131049625,0.935738128,7.940429375,-1.244515,0.7835465,8.695015,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,5.858641942,0.178506909,4.998953982,-2.131049625,0.935738128,7.940429375,-1.244515,0.7835465,8.695015,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,5.858641942,0.178506909,4.998953982,-2.131049625,0.935738128,7.940429375,-1.244515,0.7835465,8.695015,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,5.858641942,0.178506909,4.998953982,-2.131049625,0.935738128,7.940429375,-1.244515,0.7835465,8.695015,-1.04712,3.06825,10.6597,-14.905,-1.37526,0.636108,5.858641942,0.178506909,4.998953982,1
-1.819163461,0.875109617,8.19621685,-1.234725,0.7766035,8.699575,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,4.100805595,0.126829339,3.463958371,-1.819163461,0.875109617,8.19621685,-1.234725,0.7766035,8.699575,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,4.100805595,0.126829339,3.463958371,-1.819163461,0.875109617,8.19621685,-1.234725,0.7766035,8.699575,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,4.100805595,0.126829339,3.463958371,-1.819163461,0.875109617,8.19621685,-1.234725,0.7766035,8.699575,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,4.100805595,0.126829339,3.463958371,1
-1.658375717,0.840172368,8.325047079,-1.22173,0.765579,8.70292,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,3.153239325,0.098850772,2.647970908,-1.658375717,0.840172368,8.325047079,-1.22173,0.765579,8.70292,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,3.153239325,0.098850772,2.647970908,-1.658375717,0.840172368,8.325047079,-1.22173,0.765579,8.70292,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,3.153239325,0.098850772,2.647970908,-1.658375717,0.840172368,8.325047079,-1.22173,0.765579,8.70292,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,3.153239325,0.098850772,2.647970908,1
-1.56133851,0.818436689,8.402677267,-1.20011,0.755264,8.70546,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.560310037,0.081027128,2.142660914,-1.56133851,0.818436689,8.402677267,-1.20011,0.755264,8.70546,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.560310037,0.081027128,2.142660914,-1.56133851,0.818436689,8.402677267,-1.20011,0.755264,8.70546,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.560310037,0.081027128,2.142660914,-1.56133851,0.818436689,8.402677267,-1.20011,0.755264,8.70546,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.560310037,0.081027128,2.142660914,1
-1.191235097,0.745954545,8.70988938,-1.182855,0.7415615,8.7101,-1.0305,1.01506,8.9395,-1.34979,0.366333,8.57063,0.001150007,0.000837564,0.001004268,-1.496722592,0.803756556,8.454620928,-1.19033,0.748222,8.706795,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.154518741,0.06864152,1.799197123,-1.496722592,0.803756556,8.454620928,-1.19033,0.748222,8.706795,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.154518741,0.06864152,1.799197123,-1.496722592,0.803756556,8.454620928,-1.19033,0.748222,8.706795,-1.0305,3.06825,10.6597,-14.905,-1.37526,0.636108,2.154518741,0.06864152,1.799197123,1
-1.170398159,0.729442376,8.71368099,-1.17399,0.7324755,8.71337,-0.753632,1.01506,9.01207,-1.99652,0.366333,8.39546,0.002163388,0.001339962,0.001318067,-1.444870007,0.78838402,8.492751957,-1.1853,0.7427905,8.70869,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.863779962,0.060644383,1.551238137,-1.444870007,0.78838402,8.492751957,-1.1853,0.7427905,8.70869,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.863779962,0.060644383,1.551238137,-1.444870007,0.78838402,8.492751957,-1.1853,0.7427905,8.70869,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.863779962,0.060644383,1.551238137,1
-1.161459939,0.711051742,8.71585173,-1.16782,0.7236405,8.71554,-0.753632,0.826553,9.01207,-1.99652,0.431976,8.39546,0.001808223,0.001581761,0.001209903,-1.40809876,0.772573445,8.52098865,-1.1797,0.737419,8.7105,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.640316751,0.054857803,1.363026612,-1.40809876,0.772573445,8.52098865,-1.1797,0.737419,8.7105,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.640316751,0.054857803,1.363026612,-1.40809876,0.772573445,8.52098865,-1.1797,0.737419,8.7105,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.640316751,0.054857803,1.363026612,1
-1.157389836,0.696050485,8.71692751,-1.16306,0.7047955,8.716505,-0.753632,0.806625,9.01207,-1.99652,0.431976,8.39546,0.001747166,0.001752236,0.001224746,-1.380050227,0.760104655,8.54275843,-1.17559,0.732315,8.71128,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.46438241,0.050035812,1.215474959,-1.380050227,0.760104655,8.54275843,-1.17559,0.732315,8.71128,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.46438241,0.050035812,1.215474959,-1.380050227,0.760104655,8.54275843,-1.17559,0.732315,8.71128,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.46438241,0.050035812,1.215474959,1
-1.154085186,0.681501838,8.717982737,-1.15932,0.6712495,8.718195,-0.753632,0.806625,9.01207,-1.99652,0.431976,8.39546,0.001686503,0.001571755,0.001223649,-1.357711848,0.749969264,8.560330002,-1.17295,0.7273255,8.712,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.322462087,0.04598723,1.096796666,-1.357711848,0.749969264,8.560330002,-1.17295,0.7273255,8.712,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.322462087,0.04598723,1.096796666,-1.357711848,0.749969264,8.560330002,-1.17295,0.7273255,8.712,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.322462087,0.04598723,1.096796666,1
-1.150406798,0.669210871,8.718594563,-1.1553,0.665695,8.718765,-0.753632,0.806625,9.01207,-1.99652,0.431976,8.39546,0.001672099,0.001036834,0.00125262,-1.170820947,0.707582708,8.714241972,-1.168175,0.7149585,8.71413,-0.753632,1.01506,9.01207,-1.99652,0.366333,8.39546,0.001827791,0.002409597,0.001147389,-1.339306322,0.742599427,8.574608944,-1.171145,0.7218325,8.71255,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.205687944,0.042400351,0.99922617,-1.339306322,0.742599427,8.574608944,-1.171145,0.7218325,8.71255,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.205687944,0.042400351,0.99922617,1
-1.153982652,0.665073812,8.717530073,-1.153825,0.664993,8.718045,-0.88356,0.799469,8.98105,-1.26965,0.522644,8.55081,0.000436411,0.000425257,0.001017968,-1.162190406,0.697258094,8.715605532,-1.16364,0.692703,8.71576,-0.753632,1.01506,9.01207,-1.99652,0.366333,8.39546,0.001367266,0.001918437,0.001171722,-1.323666942,0.737004766,8.586409506,-1.16929,0.7152025,8.71295,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.107953072,0.039248839,0.917593498,-1.323666942,0.737004766,8.586409506,-1.16929,0.7152025,8.71295,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.107953072,0.039248839,0.917593498,1
-1.153291289,0.666033361,8.716900627,-1.15305,0.665558,8.71744,-0.88356,1.07196,8.98105,-1.2811,0.522644,8.13803,0.000501332,0.000515516,0.00127185,-1.157375614,0.688542551,8.716376178,-1.16047,0.679321,8.71661,-0.753632,1.07196,9.01207,-1.99652,0.431976,8.13803,0.001171459,0.001555302,0.001241151,-1.310095886,0.731596489,8.59633941,-1.16727,0.7065275,8.71326,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.024985814,0.036643501,0.84835916,-1.310095886,0.731596489,8.59633941,-1.16727,0.7065275,8.71326,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,1.024985814,0.036643501,0.84835916,1
-1.150662802,0.666659736,8.717397023,-1.15049,0.666229,8.71801,-0.88356,1.07196,8.98105,-1.2811,0.522644,8.13803,0.000520345,0.000508238,0.001266286,-1.154026319,0.68135511,8.717162267,-1.15671,0.6730425,8.71733,-0.753632,1.07196,9.01207,-1.99652,0.431976,8.13803,0.001145069,0.001346191,0.001245571,-1.298126147,0.72673147,8.605129356,-1.16508,0.695351,8.71376,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,0.953655328,0.034352178,0.788831243,-1.298126147,0.72673147,8.605129356,-1.16508,0.695351,8.71376,-0.753632,3.06825,10.6597,-14.905,-1.37526,0.636108,0.953655328,0.034352178,0.788831243,1
