accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
0.961198643,0.39313892,9.45690145,0.809205,0.0598525,9.58836,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.846299027,2.029946397,0.61590721,0.961198643,0.39313892,9.45690145,0.809205,0.0598525,9.58836,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.846299027,2.029946397,0.61590721,0.961198643,0.39313892,9.45690145,0.809205,0.0598525,9.58836,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.846299027,2.029946397,0.61590721,0.961198643,0.39313892,9.45690145,0.809205,0.0598525,9.58836,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.846299027,2.029946397,0.61590721,1
0.840202921,0.223383379,9.530136767,0.742171,0.0550643,9.59794,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.437642638,1.043050256,0.313144482,0.840202921,0.223383379,9.530136767,0.742171,0.0550643,9.59794,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.437642638,1.043050256,0.313144482,0.840202921,0.223383379,9.530136767,0.742171,0.0550643,9.59794,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.437642638,1.043050256,0.313144482,0.840202921,0.223383379,9.530136767,0.742171,0.0550643,9.59794,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.437642638,1.043050256,0.313144482,1
0.791970505,0.166162433,9.555361183,0.71823,0.0550643,9.60034,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.29641936,0.701787539,0.210010581,0.791970505,0.166162433,9.555361183,0.71823,0.0550643,9.60034,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.29641936,0.701787539,0.210010581,0.791970505,0.166162433,9.555361183,0.71823,0.0550643,9.60034,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.29641936,0.701787539,0.210010581,0.791970505,0.166162433,9.555361183,0.71823,0.0550643,9.60034,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.29641936,0.701787539,0.210010581,1
0.744734277,0.134708964,9.569346054,0.703865,0.0526702,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.232232258,0.530702573,0.158746069,0.744734277,0.134708964,9.569346054,0.703865,0.0526702,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.232232258,0.530702573,0.158746069,0.744734277,0.134708964,9.569346054,0.703865,0.0526702,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.232232258,0.530702573,0.158746069,0.744734277,0.134708964,9.569346054,0.703865,0.0526702,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.232232258,0.530702573,0.158746069,1
0.700196451,0.108004188,9.575004437,0.696683,0.047882,9.60512,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.204086242,0.428554331,0.135374254,0.700196451,0.108004188,9.575004437,0.696683,0.047882,9.60512,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.204086242,0.428554331,0.135374254,0.700196451,0.108004188,9.575004437,0.696683,0.047882,9.60512,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.204086242,0.428554331,0.135374254,0.700196451,0.108004188,9.575004437,0.696683,0.047882,9.60512,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.204086242,0.428554331,0.135374254,1
0.73145543,0.052037349,9.59146544,0.696683,0.0430938,9.60512,3.09318,1.02707,10.7639,-1.63996,-1.04622,5.17365,0.138294591,0.01181265,0.012690171,0.769745965,0.108887611,9.569038108,0.703865,0.0454879,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.263425832,0.363861953,0.115598771,0.769745965,0.108887611,9.569038108,0.703865,0.0454879,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.263425832,0.363861953,0.115598771,0.769745965,0.108887611,9.569038108,0.703865,0.0454879,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.263425832,0.363861953,0.115598771,1
0.728594484,0.044068188,9.591574777,0.696683,0.0263351,9.60512,3.09318,1.02707,10.7639,-1.63996,-1.04622,5.17365,0.138341172,0.012032425,0.012678516,0.760482609,0.0953011,9.57402106,0.703865,0.0406997,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.226314754,0.312994288,0.09924232,0.760482609,0.0953011,9.57402106,0.703865,0.0406997,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.226314754,0.312994288,0.09924232,0.760482609,0.0953011,9.57402106,0.703865,0.0406997,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.226314754,0.312994288,0.09924232,1
0.728115657,0.034627454,9.590777517,0.694289,0.0143646,9.60512,3.09318,1.02707,10.7639,-1.63996,-1.04622,5.17365,0.138506299,0.012327615,0.012670588,0.752061225,0.083953071,9.577496392,0.701471,0.0335174,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.198630119,0.274838598,0.086938786,0.752061225,0.083953071,9.577496392,0.701471,0.0335174,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.198630119,0.274838598,0.086938786,0.752061225,0.083953071,9.577496392,0.701471,0.0335174,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.198630119,0.274838598,0.086938786,1
0.741085285,0.026118824,9.589122347,0.6895,0.0071823,9.60273,3.09318,1.02707,10.1151,-1.63996,-1.04622,5.17365,0.133443982,0.011422709,0.012092313,0.742707059,0.074381109,9.580332883,0.696683,0.0263351,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.177318289,0.24507031,0.077351016,0.742707059,0.074381109,9.580332883,0.696683,0.0263351,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.177318289,0.24507031,0.077351016,0.742707059,0.074381109,9.580332883,0.696683,0.0263351,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.177318289,0.24507031,0.077351016,1
0.769278199,0.02523141,9.590036923,0.687106,0.0071823,9.60273,3.09318,1.02707,10.1151,0.464455,-0.92891,8.31949,0.113931048,0.010323768,0.003878163,0.734737325,0.066617799,9.58252068,0.694289,0.0191528,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.16017541,0.221115589,0.069671106,0.734737325,0.066617799,9.58252068,0.694289,0.0191528,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.16017541,0.221115589,0.069671106,0.734737325,0.066617799,9.58252068,0.694289,0.0191528,9.60273,13.9145,8.36019,15.2887,-5.73147,-4.53442,2.81785,0.16017541,0.221115589,0.069671106,1
