minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
5.15 AM,1,2.211752049,-0.463904587,8.466889595,0.509943,-0.356721,9.58118,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,10.11483337,1.98771353,5.513844556,2.211752049,-0.463904587,8.466889595,0.509943,-0.356721,9.58118,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,10.11483337,1.98771353,5.513844556,2.211752049,-0.463904587,8.466889595,0.509943,-0.356721,9.58118,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,10.11483337,1.98771353,5.513844556,2.211752049,-0.463904587,8.466889595,0.509943,-0.356721,9.58118,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,10.11483337,1.98771353,5.513844556,2.211752049,-0.463904587,8.466889595,0.509943,-0.356721,9.58118,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,10.11483337,1.98771353,5.513844556,
5.16 AM,1,0.471753172,-0.373028535,9.5934327,0.469243,-0.371085,9.59315,0.660771,0.100552,9.68174,0.311233,-0.986369,9.52133,0.001161605,0.001978734,0.000203091,1.341752611,-0.418466561,9.030161148,0.488396,-0.363903,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,5.814896511,0.996910746,3.074298665,1.341752611,-0.418466561,9.030161148,0.488396,-0.363903,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,5.814896511,0.996910746,3.074298665,1.341752611,-0.418466561,9.030161148,0.488396,-0.363903,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,5.814896511,0.996910746,3.074298665,1.341752611,-0.418466561,9.030161148,0.488396,-0.363903,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,5.814896511,0.996910746,3.074298665,
5.17 AM,1,0.423432269,-0.35987296,9.595308067,0.416573,-0.354327,9.59555,1.26408,1.05101,9.85172,-0.246592,-1.36224,9.38487,0.014148605,0.021870546,0.001208472,1.03564583,-0.398935361,9.218543454,0.469243,-0.361509,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,4.068716598,0.672660282,2.120911054,1.03564583,-0.398935361,9.218543454,0.469243,-0.361509,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,4.068716598,0.672660282,2.120911054,1.03564583,-0.398935361,9.218543454,0.469243,-0.361509,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,4.068716598,0.672660282,2.120911054,1.03564583,-0.398935361,9.218543454,0.469243,-0.361509,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,4.068716598,0.672660282,2.120911054,
5.18 AM,1,0.454751062,-0.386008518,9.58914715,0.457273,-0.390238,9.59076,0.641618,-0.095764,9.67216,0.181951,-0.655983,9.43514,0.00201785,0.002977807,0.000338618,0.890422138,-0.39570365,9.311194378,0.462061,-0.366297,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,3.115311674,0.505270995,1.616520526,0.890422138,-0.39570365,9.311194378,0.462061,-0.366297,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,3.115311674,0.505270995,1.616520526,0.890422138,-0.39570365,9.311194378,0.462061,-0.366297,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,3.115311674,0.505270995,1.616520526,0.890422138,-0.39570365,9.311194378,0.462061,-0.366297,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,3.115311674,0.505270995,1.616520526,
5.19 AM,1,0.388398645,-0.344243498,9.596173717,0.387844,-0.342356,9.59555,0.519519,-0.203498,9.70568,0.263351,-0.58416,9.55724,0.000307225,0.000569427,0.000147572,0.790017439,-0.38541162,9.368190246,0.447696,-0.359115,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.532635198,0.404754385,1.306240051,0.790017439,-0.38541162,9.368190246,0.447696,-0.359115,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.532635198,0.404754385,1.306240051,0.790017439,-0.38541162,9.368190246,0.447696,-0.359115,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.532635198,0.404754385,1.306240051,0.790017439,-0.38541162,9.368190246,0.447696,-0.359115,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.532635198,0.404754385,1.306240051,
5.20 AM,1,0.423651742,-0.354753607,9.5952679,0.42615,-0.354327,9.59555,0.811599,0.0311233,9.66498,0.150828,-0.653589,9.42796,0.001693039,0.001287647,0.000246082,0.432397378,-0.363581424,9.593865907,0.430938,-0.359115,9.59315,1.26408,1.05101,9.85172,-0.246592,-1.36224,9.38487,0.004693928,0.005948404,0.000435132,0.72895649,-0.380301951,9.406036521,0.440514,-0.359115,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.129453702,0.337640472,1.095736093,0.72895649,-0.380301951,9.406036521,0.440514,-0.359115,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.129453702,0.337640472,1.095736093,0.72895649,-0.380301951,9.406036521,0.440514,-0.359115,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,2.129453702,0.337640472,1.095736093,
5.21 AM,1,0.42263818,-0.364230227,9.597674217,0.423755,-0.363903,9.59794,0.514731,-0.296868,9.63385,0.361509,-0.43812,9.56442,0.000137326,0.000147369,0.000111135,0.422574379,-0.361821762,9.59471421,0.421361,-0.359115,9.59555,1.26408,1.05101,9.85172,-0.246592,-1.36224,9.38487,0.004101853,0.00556127,0.000418884,0.685196731,-0.37800599,9.433413335,0.433332,-0.361509,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.836755147,0.2894588,0.943715181,0.685196731,-0.37800599,9.433413335,0.433332,-0.361509,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.836755147,0.2894588,0.943715181,0.685196731,-0.37800599,9.433413335,0.433332,-0.361509,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.836755147,0.2894588,0.943715181,
5.22 AM,1,0.426432842,-0.365363421,9.600267617,0.422558,-0.366297,9.60273,0.763717,-0.0550643,9.75116,0.181951,-0.648801,9.18855,0.001526035,0.00158301,0.000693111,0.423174494,-0.362919854,9.59570612,0.421361,-0.361509,9.59555,0.811599,0.0311233,9.75116,0.150828,-0.655983,9.18855,0.001579809,0.001504306,0.000320926,0.652851245,-0.376425669,9.45427012,0.430938,-0.361509,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.614675122,0.253491808,0.828882461,0.652851245,-0.376425669,9.45427012,0.430938,-0.361509,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.614675122,0.253491808,0.828882461,0.652851245,-0.376425669,9.45427012,0.430938,-0.361509,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.614675122,0.253491808,0.828882461,
5.23 AM,1,0.409235248,-0.339782497,9.6005308,0.406997,-0.337568,9.60034,0.701471,-0.148434,9.71525,0.189134,-0.773294,9.46866,0.000899405,0.000905587,0.000323714,0.414071331,-0.35367465,9.59798285,0.414179,-0.354327,9.59794,0.811599,0.0311233,9.75116,0.150828,-0.773294,9.18855,0.001112697,0.001004838,0.000308813,0.625782801,-0.372354206,9.470521307,0.42615,-0.359115,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.441228314,0.225559287,0.738933186,0.625782801,-0.372354206,9.470521307,0.42615,-0.359115,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.441228314,0.225559287,0.738933186,0.625782801,-0.372354206,9.470521307,0.42615,-0.359115,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.441228314,0.225559287,0.738933186,
5.24 AM,1,0.39939946,-0.32884547,9.602558083,0.399814,-0.327992,9.60273,0.435726,-0.301656,9.62906,0.366297,-0.371085,9.56682,8.36E-05,8.29E-05,9.38E-05,0.416271494,-0.350595044,9.599259723,0.414179,-0.349538,9.60034,0.811599,0.0311233,9.75116,0.150828,-0.773294,9.18855,0.000974368,0.00100356,0.000299962,0.603144467,-0.368003332,9.483724985,0.421361,-0.354327,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.301726291,0.203182021,0.666618283,0.603144467,-0.368003332,9.483724985,0.421361,-0.354327,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.301726291,0.203182021,0.666618283,0.603144467,-0.368003332,9.483724985,0.421361,-0.354327,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.301726291,0.203182021,0.666618283,
